VS__Z,VS__u,VS__w,VS__ezz,VS__kzz,VS__szz_bot,VS__szz_top,VS__sth_bot,VS__sth_top,S__Z,S__u,S__w,S__ezz,S__kzz,S__szz_bot,S__szz_top,S__sth_bot,S__sth_top,B__Z,B__u,B__w,B__ezz,B__kzz,B__szz_bot,B__szz_top,B__sth_bot,B__sth_top,I__Z,I__u,I__w,I__ezz,I__kzz,I__szz_Iot,I__szz_top,I__sth_Iot,I__sth_top,Q__Z,Q__u,Q__w,Q__ezz,Q__kzz,Q__szz_Qot,Q__szz_top,Q__sth_Qot,Q__sth_top
0,9.67E-15,1.37E-15,-0.000155274,4.55E-05,0.852343259,-69.10478703,0.255702978,-20.73143611,0,1.25E-14,1.15E-15,-0.000128349,6.35E-05,13.65176242,-70.06900421,4.095528727,-21.02070126,0,2.29E-10,-1.60E-12,-9.61E-05,6.52E-05,21.8438691,-64.07296801,6.553160745,-19.22189039,0,8.90E-12,9.97E-14,-9.57E-05,9.76E-05,32.58937038,-74.65884481,9.776811115,-22.39765344,0,2.72E-12,1.23E-13,-7.94E-05,2.99E-04,81.28007849,-116.1753587,24.38402355,-34.85260761
7.2,0.001124558,-0.001118114,-0.000155357,3.93E-05,-3.865267306,-64.36417199,-1.069615579,-19.21928698,7.6,0.001746008,-0.000975619,-0.000128449,5.46E-05,7.784088847,-64.16862482,2.451627177,-19.13418692,2,0.000128747,-0.000192129,-9.61E-05,6.28E-05,20.31220234,-62.5322739,6.101234063,-18.75210881,4, ,-0.000382814,-9.57E-05,9.04E-05,28.66515984,-70.71299134,8.639626222,-21.17381913,2.5,0.000919493,-0.000198451,-7.94E-05,2.84E-04,76.14653215,-111.0199716,22.88073937,-33.26921175
14.4,0.004289604,-0.002237727,-0.000155684,3.36E-05,-8.241485379,-59.96494958,-2.129277254,-17.64631651,15.2,0.006646874,-0.00195323,-0.000128865,4.63E-05,2.359125945,-58.71095794,1.150862708,-17.17016246,4,0.000508803,-0.000384263,-9.61E-05,6.05E-05,18.80849196,-61.01953651,5.67247718,-18.27593136,8,0.002970283,-0.000765904,-9.58E-05,8.35E-05,24.89062822,-66.91681886,7.623519172,-19.91871495,5,0.003613385,-0.00039705,-7.95E-05,2.69E-04,71.15003814,-106.0016409,21.48954685,-31.65595686
21.6,0.009199418,-0.003360472,-0.000156221,2.84E-05,-12.28083857,-55.90259218,-2.948298155,-16.03482424,22.8,0.014225878,-0.002935047,-0.000129549,3.87E-05,-2.62947611,-53.68965373,0.159549018,-15.15850427,6,0.001131018,-0.000576444,-9.61E-05,5.83E-05,17.33270931,-59.53472721,5.266343269,-17.79388769,12,0.006516158,-0.001149708,-9.61E-05,7.69E-05,21.26516294,-63.26971478,6.722504562,-18.63795875,7.5,0.007986744,-0.000596056,-7.97E-05,2.54E-04,66.29029645,-101.1200666,20.20655868,-30.01655024
28.8,0.015580963,-0.004487737,-0.000156935,2.35E-05,-15.99033807,-52.17008861,-3.550624414,-14.40454958,30.4,0.024044501,-0.003922936,-0.000130456,3.18E-05,-7.191508802,-49.09492073,-0.554485931,-13.12550951,8,0.001986412,-0.000768714,-9.62E-05,5.61E-05,15.88480896,-58.07780058,4.882290441,-17.30649242,16,0.01129322,-0.001534632,-9.64E-05,7.06E-05,17.78779574,-59.77071084,5.930718705,-17.33683327,10,0.013947228,-0.000795714,-8.00E-05,2.40E-04,61.56683907,-96.37478073,19.02794085,-28.35454509
36,0.023183422,-0.005620683,-0.000157795,1.91E-05,-19.37909033,-48.75833241,-3.95905333,-12.77282596,38,0.035701571,-0.004918445,-0.000131547,2.55E-05,-11.33964231,-44.91408876,-1.021787943,-11.09412188,10,0.003066173,-0.000961114,-9.62E-05,5.39E-05,14.46472936,-56.64869506,4.519781917,-16.81424541,20,0.01719989,-0.001921048,-9.68E-05,6.45E-05,14.45723086,-56.41851129,5.242426603,-16.02029604,12.5,0.021405082,-0.000996255,-8.04E-05,2.26E-04,56.97903927,-91.76515651,17.94991506,-26.67334368
43.2,0.031777585,-0.006760265,-0.000158774,1.51E-05,-22.45794041,-45.65647854,-4.19517529,-11.15473673,45.6,0.04883216,-0.005922829,-0.000132786,1.97E-05,-15.08891047,-41.13212398,-1.271195815,-9.084159868,12,0.004361659,-0.001153683,-9.63E-05,5.18E-05,13.07239343,-55.24733357,4.178286186,-16.31763191,24,0.024138863,-0.002309299,-9.73E-05,5.87E-05,11.27187204,-53.21151987,4.652028067,-14.69298951,15,0.03027312,-0.001197898,-8.09E-05,2.12E-04,52.52612053,-87.29041746,16.96876095,-24.97620045
50.4,0.041155119,-0.007907248,-0.000159847,1.14E-05,-25.23914592,-42.85226936,-4.279334296,-9.563271327,53.2,0.063106265,-0.006937082,-0.000134139,1.46E-05,-18.45624222,-37.73209746,-1.329788348,-7.112544921,14,0.005864395,-0.001346458,-9.64E-05,4.97E-05,11.70770917,-53.87362409,3.857277156,-15.81712282,28,0.032017062,-0.002699694,-9.79E-05,5.31E-05,8.229848405,-50.1478657,4.154063036,-13.35925119,17.5,0.040466714,-0.001400847,-8.15E-05,1.99E-04,48.20716532,-82.94964603,16.08081814,-23.26622526
57.6,0.05112774,-0.009062227,-0.000160991,8.19E-06,-27.73608075,-40.33233101,-4.230605014,-8.009480091,60.8,0.078227332,-0.007961958,-0.000135577,1.00E-05,-21.46003787,-34.6956089,-1.222855887,-5.193527196,16,0.007566075,-0.001539474,-9.66E-05,4.77E-05,10.3705702,-52.52746028,3.556234304,-15.31317484,32,0.040745583,-0.003092517,-9.85E-05,4.78E-05,5.329039209,-47.22542803,3.743216138,-12.02312403,20,0.051903775,-0.001605296,-8.21E-05,1.86E-04,44.02112347,-78.74179206,15.28248803,-21.54638663
64.8,0.061526322,-0.010225641,-0.000162186,5.28E-06,-29.96296719,-38.08244118,-4.066784415,-6.502626613,68.4,0.093930647,-0.008997997,-0.000137073,5.98E-06,-24.11978828,-32.00316743,-0.973893352,-3.338907097,18,0.00945856,-0.001732767,-9.67E-05,4.57E-05,9.060856412,-51.208722,3.274642803,-14.80623072,36,0.050239635,-0.003488023,-9.92E-05,4.28E-05,2.567097492,-44.44185992,3.414320539,-10.68836668,22.5,0.064504734,-0.001811424,-8.28E-05,1.74E-04,39.96682048,-74.66568105,14.57023551,-19.81951495
72,0.072199931,-0.011397791,-0.000163415,2.70E-06,-31.93463536,-36.08776976,-3.80439616,-5.050336478,76,0.109981628,-0.010045552,-0.000138604,2.41E-06,-26.45573491,-29.63453159,-0.604611916,-1.558250919,20,0.011533876,-0.001926369,-9.69E-05,4.38E-05,7.77843447,-49.91727593,3.01199365,-14.29671947,40,0.060418467,-0.003886441,-1.00E-04,3.80E-05,-0.05852738,-41.79461072,3.162361112,-9.35846389,25,0.07819252,-0.002019401,-8.36E-05,1.62E-04,36.04296542,-70.72002206,13.94059044,-18.08830581
79.2,0.083014831,-0.012578857,-0.00016466,4.33E-07,-33.66630851,-34.33309351,-3.458706044,-3.658741544,83.6,0.126174058,-0.011104807,-0.000140148,-6.97E-07,-28.48856855,-27.56901062,-0.134966687,0.140900692,22,0.013784217,-0.002120312,-9.71E-05,4.18E-05,6.523158389,-48.65297608,2.767783789,-13.78505655,44,0.071205301,-0.004287973,-0.000100788,3.34E-05,-2.550568236,-39.28094761,2.982476972,-8.036636841,27.5,0.092892534,-0.002229384,-8.44E-05,1.50E-04,32.24815862,-66.90341545,13.39014896,-16.35532326
86.4,0.093853461,-0.013768908,-0.000165909,-1.54E-06,-35.17341267,-32.80298637,-3.043746899,-2.332619011,91.2,0.14232827,-0.012175798,-0.000141689,-3.38E-06,-30.23916437,-25.78572933,0.416802054,1.752832567,24,0.016201938,-0.002314625,-9.73E-05,4.00E-05,5.294870071,-47.41566435,2.541516212,-13.27164412,48,0.082527247,-0.004692802,-0.000101633,2.91E-05,-4.911919682,-36.89797599,2.869963417,-6.725853475,30,0.108532624,-0.00244152,-8.53E-05,1.39E-04,28.5808992,-63.21436032,12.91557473,-14.62300312
93.6,0.104613392,-0.014967919,-0.000167148,-3.24E-06,-36.47140943,-31.48198678,-2.5723515,-1.075524706,98.8,0.158289325,-0.013258437,-0.000143211,-5.66E-06,-31.7283512,-24.26385891,1.034116286,3.273463973,26,0.018779562,-0.002509339,-9.75E-05,3.81E-05,4.093399833,-46.20517106,2.332700069,-12.7568712,52,0.09431522,-0.005101085,-0.000102514,2.50E-05,-7.145618714,-34.64265886,2.820273311,-5.428838732,32.5,0.125043056,-0.002655943,-8.62E-05,1.28E-04,25.03959221,-59.65126173,12.5135999,-12.89365629
100.8,0.115206286,-0.016175785,-0.000168366,-4.69E-06,-37.57565014,-30.35474337,-2.056192129,0.110079903,106.4,0.173925182,-0.014352526,-0.0001447,-7.58E-06,-32.97671238,-22.98281601,1.701998425,4.700167338,28,0.021509772,-0.002704479,-9.77E-05,3.64E-05,2.918566926,-45.02131547,2.140850761,-12.24111396,56,0.106503851,-0.005512959,-0.000103427,2.12E-05,-9.254826347,-32.5118352,2.829017941,-4.148084715,35,0.142356482,-0.00287278,-8.72E-05,1.18E-04,21.62255566,-56.21243768,12.18102599,-11.16947201
108,0.125556869,-0.017392326,-0.000169556,-5.91E-06,-38.50125021,-29.40614075,-1.505825565,1.222707274,114,0.189124904,-0.015457773,-0.000146146,-9.16E-06,-34.00441615,-21.92243239,2.407002099,6.031597226,30,0.024385412,-0.002900074,-9.79E-05,3.46E-05,1.770180038,-43.86390625,1.965490025,-11.72473586,60,0.119031399,-0.005928539,-0.000104367,1.75E-05,-11.24281023,-30.50223737,2.891967394,-2.88586075,37.5,0.160407913,-0.003092147,-8.83E-05,1.08E-04,18.32802721,-52.89612585,11.9147247,-9.45252122
115.2,0.135601902,-0.018617305,-0.000170709,-6.92E-06,-39.26298191,-28.62140663,-0.930742383,2.261730201,121.6,0.203796887,-0.016573812,-0.000147539,-1.04E-05,-34.83107303,-21.06309756,3.137137204,7.267529846,32,0.027399489,-0.003096147,-9.82E-05,3.29E-05,0.648037794,-42.73274203,1.806146014,-11.20808793,64,0.13183965,-0.006347926,-0.000105329,1.41E-05,-13.11292821,-28.61050752,3.005050472,-1.64422332,40,0.179134681,-0.003314149,-8.93E-05,9.84E-05,15.15417072,-49.70049008,11.71163844,-7.7447598
122.4,0.145289197,-0.019850435,-0.000171819,-7.73E-06,-39.87518437,-27.98620189,-0.339419543,3.227275203,129.2,0.217867143,-0.017700213,-0.000148872,-1.14E-05,-35.47561807,-20.38587645,3.881790761,8.408713247,34,0.030545168,-0.003292723,-9.84E-05,3.12E-05,-0.448070765,-41.62761186,1.662353376,-10.69150895,68,0.144873823,-0.006771197,-0.000106309,1.09E-05,-14.86861289,-26.83321306,3.164354199,-0.425025852,42.5,0.198476404,-0.003538882,-9.05E-05,8.91E-05,12.09908245,-46.62362666,11.56878088,-6.048031853
129.6,0.154576643,-0.021091388,-0.000172882,-8.36E-06,-40.35168927,-27.48669486,0.26062463,4.120122952,136.8,0.231277644,-0.018836494,-0.000150138,-1.22E-05,-35.95621569,-19.87260464,4.631644925,9.45672824,36,0.033815771,-0.003489824,-9.87E-05,2.96E-05,-1.518365704,-40.54829567,1.533653313,-10.17532568,72,0.158082471,-0.007198417,-0.000107303,7.87E-06,-16.513357,-25.16686125,3.366122927,0.770071654,45,0.218374954,-0.003766436,-9.16E-05,8.01E-05,9.160797182,-43.66357035,11.4832373,-4.364072963
136.8,0.163431277,-0.022339804,-0.000173892,-8.84E-06,-40.70576079,-27.10962134,0.862773899,4.941615733,144.4,0.243984733,-0.019982137,-0.000151335,-1.27E-05,-36.29018506,-19.50596298,5.378593331,10.41385996,38,0.037204778,-0.003687471,-9.90E-05,2.80E-05,-2.563075737,-39.49456475,1.419593647,-9.659853057,76,0.171417373,-0.007629632,-0.000108306,5.06E-06,-18.05069977,-23.60791286,3.606757093,1.939593165,47.5,0.238774416,-0.003996889,-9.28E-05,7.15E-05,6.337293952,-40.8183002,11.45216482,-2.694513427
144,0.171828392,-0.023595298,-0.000174847,-9.17E-06,-40.95004871,-26.84233157,1.461256717,5.693571858,152,0.2559576,-0.021136595,-0.000152458,-1.31E-05,-36.49394387,-19.26953377,6.115656832,11.28297986,40,0.040705823,-0.003885686,-9.93E-05,2.65E-05,-3.58243777,-38.46618219,1.31972887,-9.145394454,80,0.184833441,-0.008064875,-0.000109316,2.43E-06,-19.48421406,-22.15279504,3.882811643,3.082237349,50,0.259621052,-0.004230312,-9.40E-05,6.33E-05,3.626501695,-38.08574514,11.47279258,-1.040881467
151.2,0.179750682,-0.024857465,-0.000175745,-9.38E-06,-41.09655313,-26.67282544,2.051088611,6.378206917,159.6,0.267176852,-0.022299302,-0.000153505,-1.32E-05,-36.58296865,-19.1478405,6.836899551,12.067438,42,0.044312695,-0.004084487,-9.96E-05,2.49E-05,-4.576696467,-37.46290332,1.233620196,-8.63224186,84,0.198288607,-0.008504166,-0.000110329,-1.78E-08,-20.81749439,-20.79791325,4.190994157,4.1968685,52.5,0.28086326,-0.004466769,-9.52E-05,5.53E-05,1.026304596,-35.46378937,11.54242178,0.595393591
158.4,0.187187436,-0.026125892,-0.000176585,-9.47E-06,-41.15659978,-26.58977722,2.628014909,6.998061677,167.2,0.277633154,-0.023469682,-0.000154477,-1.32E-05,-36.57176971,-19.12637285,7.537346015,12.77096507,44,0.048019335,-0.004283892,-9.99E-05,2.35E-05,-5.546103815,-36.48447616,1.160835597,-8.120676108,88,0.211743722,-0.008947511,-0.000111343,-2.29E-06,-22.05414578,-19.53966251,4.528162694,5.282507674,55,0.302451535,-0.004706315,-9.64E-05,4.78E-05,-1.46545274,-32.95027748,11.65842559,2.212978164
165.6,0.194133771,-0.027400155,-0.000177367,-9.46E-06,-41.1408247,-26.58255086,3.188454282,7.555936435,174.8,0.287325957,-0.024647153,-0.000155372,-1.31E-05,-36.47387905,-19.19159883,8.212900054,13.39758412,46,0.051819833,-0.004483919,-0.000100171,2.20E-05,-6.490918706,-35.53064183,1.100949842,-7.610967094,92,0.225162452,-0.009394903,-0.000112353,-4.39E-06,-23.19777324,-18.37443777,4.891323397,6.33832404,57.5,0.324338428,-0.004948998,-9.77E-05,4.05E-05,-3.850960342,-30.54301945,11.81824902,3.81063129
172.8,0.200589921,-0.028679832,-0.000178089,-9.37E-06,-41.05916723,-26.64120704,3.72944351,8.054831567,182.4,0.296262313,-0.025831138,-0.000156191,-1.29E-05,-36.30184951,-19.3309656,8.860266021,13.95153119,48,0.05570843,-0.004684583,-0.000100494,2.06E-05,-7.411406528,-34.60113492,1.053544529,-7.103373988,96,0.238511171,-0.009846325,-0.000113357,-6.33E-06,-24.25197224,-17.29864359,5.277627867,7.36362646,60,0.346478504,-0.005194861,-9.90E-05,3.35E-05,-6.132438126,-28.23979536,12.01940872,5.387201546
180,0.206560561,-0.029964499,-0.000178753,-9.21E-06,-40.92087022,-26.75650291,4.248583825,8.497894019,190,0.304455779,-0.027021066,-0.000156936,-1.25E-05,-36.06726371,-19.53289055,9.4768728,14.43718475,50,0.059679516,-0.004885899,-0.000100824,1.93E-05,-8.30783877,-33.69568395,1.018208106,-6.598145448,100,0.251758858,-0.010301752,-0.000114354,-8.11E-06,-25.22031964,-16.3087031,5.684370333,8.357855295,62.5,0.3688283,-0.005443937,-0.000100277,2.69E-05,-8.312131354,-26.03835996,12.25949258,6.941624
187.2,0.212054189,-0.031253742,-0.00017936,-8.98E-06,-40.73448665,-26.91988548,4.743989097,8.888369446,197.6,0.311925395,-0.028216381,-0.000157609,-1.21E-05,-35.78075133,-19.78674399,10.06080096,14.85900316,52,0.063727623,-0.005087883,-0.000101161,1.79E-05,-9.180492627,-32.81401173,0.994535893,-6.095519837,104,0.264876992,-0.010761146,-0.000115341,-9.74E-06,-26.10636553,-15.40106621,6.108984652,9.320574446,65,0.391346283,-0.005696254,-0.000101579,2.05E-05,-10.39230628,-23.936447,12.53615942,8.47291721
194.4,0.217082545,-0.032547152,-0.000179911,-8.70E-06,-40.5078916,-27.12347968,5.214236119,9.229559695,205.2,0.318694761,-0.02941654,-0.000158211,-1.17E-05,-35.45201349,-20.08282481,10.61071337,15.22146997,54,0.06784743,-0.005290546,-0.000101504,1.66E-05,-10.02965063,-31.95583572,0.982130098,-5.595725431,108,0.277839448,-0.011224462,-0.000116315,-1.12E-05,-26.91362558,-14.57221726,6.549041144,10.25146364,67.5,0.413992806,-0.005951836,-0.000102888,1.45E-05,-12.37524601,-21.93177336,12.84713846,9.980180251
201.6,0.221660085,-0.033844334,-0.000180408,-8.38E-06,-40.24829892,-27.36007164,5.658317148,9.524785332,212.8,0.32479118,-0.030621021,-0.000158747,-1.11E-05,-35.08985289,-20.41233033,11.12578945,15.52904622,56,0.072033758,-0.005493901,-0.000101852,1.54E-05,-10.85560026,-31.12086845,0.980599822,-5.098980634,112,0.290622395,-0.011691647,-0.000117275,-1.26E-05,-27.64557414,-13.81868189,7.002243287,11.15031096,70,0.436730068,-0.006210699,-0.000104203,8.73E-06,-14.26324651,-20.02204309,13.19022877,11.4625898
208.8,0.225803492,-0.035144906,-0.000180853,-8.02E-06,-39.96228172,-27.62308827,6.075594856,9.777352891,220.4,0.330244889,-0.031829325,-0.000159218,-1.06E-05,-34.70220882,-20.76732123,11.60566328,15.78612956,58,0.07628157,-0.005697959,-0.000102207,1.41E-05,-11.65863363,-30.3088178,0.989561068,-4.605494186,116,0.303204197,-0.012162641,-0.000118219,-1.38E-05,-28.30563787,-13.13703345,7.466424295,12.01700562,72.5,0.459522065,-0.006472853,-0.000105521,3.26E-06,-16.05861286,-18.2049511,13.56329873,12.91939726
216,0.229531232,-0.0364485,-0.000181248,-7.64E-06,-39.65579601,-27.90657355,6.465759781,9.99052652,228,0.335088365,-0.033040975,-0.000159628,-9.98E-06,-34.29619588,-21.14068294,12.05036559,15.99701947,60,0.080585965,-0.005902731,-0.000102566,1.30E-05,-12.43904707,-29.51938744,1.008636741,-4.115465371,120,0.315565311,-0.012637377,-0.000119146,-1.49E-05,-28.89718998,-12.52389873,7.939543597,12.85153097,75,0.48233455,-0.006738305,-0.00010684,-1.95E-06,-17.76365565,-16.47818682,13.96428529,14.34992594
223.2,0.232863155,-0.037754765,-0.000181596,-7.23E-06,-39.33420695,-28.20516233,6.828790342,10.16750373,235.6,0.3393557,-0.03425552,-0.00015998,-9.37E-06,-33.87814561,-21.52608393,12.46026967,16.16588817,62,0.084942181,-0.006108226,-0.00010293,1.18E-05,-13.19714086,-28.75227709,1.037456641,-3.629084228,124,0.327688188,-0.013115784,-0.000120054,-1.59E-05,-29.42354506,-11.97596314,8.419683223,13.6539578,77.5,0.505134988,-0.007007054,-0.000108159,-6.89E-06,-19.3806875,-14.83943762,14.39119329,15.75356825
230.4,0.235820132,-0.039063369,-0.000181898,-6.82E-06,-39.002317,-28.51405214,7.164915443,10.3113949,243.2,0.343082045,-0.035472537,-0.000160279,-8.75E-06,-33.45365015,-21.91793204,12.83604131,16.29675674,64,0.089345593,-0.006314453,-0.000103298,1.07E-05,-13.93321886,-28.0071829,1.07565746,-3.146531753,128,0.339557178,-0.013597783,-0.000120942,-1.67E-05,-29.88795438,-11.4899754,8.905044131,14.42443782,80,0.527892515,-0.007279097,-0.000109475,-1.16E-05,-20.91201988,-13.28639202,14.84209464,17.129783
237.6,0.238423729,-0.040373997,-0.000182158,-6.39E-06,-38.66439556,-28.82897359,7.474579682,10.42520627,250.8,0.346303122,-0.036691626,-0.000160526,-8.13E-06,-33.02760737,-22.31132942,13.17859256,16.39347595,66,0.093791707,-0.00652142,-0.00010367,9.58E-06,-14.64758818,-27.28379775,1.122882763,-2.667980107,132,0.351158437,-0.014083291,-0.000121809,-1.75E-05,-30.29360174,-11.06275172,9.393942467,15.16319747,82.5,0.550577889,-0.007554425,-0.000110787,-1.60E-05,-22.35995999,-11.81674284,15.31512757,18.47809272
244.8,0.240695925,-0.041686352,-0.000182379,-5.97E-06,-38.32420964,-29.14615967,7.758411124,10.51182611,258.4,0.349054791,-0.037912419,-0.000160727,-7.51E-06,-32.60426661,-22.70202671,13.48903939,16.45971136,68,0.098276161,-0.006729134,-0.000104045,8.52E-06,-15.34055891,-26.58181155,1.178782977,-2.193592816,136,0.362479829,-0.014572223,-0.000122653,-1.82E-05,-30.64359981,-10.69117945,9.884805796,15.87053191,85,0.57316345,-0.007833025,-0.000112092,-2.02E-05,-23.72680783,-10.42819008,15.80849567,19.79808099
252,0.242658852,-0.043000159,-0.000182562,-5.54E-06,-37.98505501,-29.46231459,8.017191617,10.57401374,266,0.351372682,-0.039134572,-0.000160885,-6.90E-06,-32.18727473,-23.08637709,13.76866303,16.49893233,70,0.102794725,-0.006937601,-0.000104423,7.50E-06,-16.01244377,-25.90091158,1.243015369,-1.723524973,140,0.373510842,-0.015064488,-0.000123475,-1.87E-05,-30.94098685,-10.3722203,10.3761693,16.54679926,87.5,0.595623076,-0.008114881,-0.000113391,-2.41E-05,-25.01485343,-9.118443702,16.32046702,21.08938994
259.2,0.244334574,-0.04431516,-0.000182711,-5.12E-06,-37.64978773,-29.77458232,8.25182957,10.6143912,273.6,0.353291872,-0.040357767,-0.000161002,-6.31E-06,-31.77972175,-23.46129051,14.01887497,16.51440434,72,0.107343294,-0.007146827,-0.000104804,6.50E-06,-16.66355787,-25.24078274,1.315244023,-1.257923438,144,0.384242494,-0.015559994,-0.000124273,-1.92E-05,-31.18872395,-10.10291321,10.86667195,17.19241518,90,0.617932138,-0.008399971,-0.00011468,-2.78E-05,-26.22637427,-7.885226238,16.84937325,22.35171766
266.4,0.245744897,-0.045631115,-0.000182828,-4.71E-06,-37.32085543,-30.08051521,8.463335142,10.63543721,281.2,0.354846617,-0.041581717,-0.000161084,-5.73E-06,-31.3841859,-23.82418878,14.24118535,16.50918449,74,0.11191789,-0.007356818,-0.000105187,5.54E-06,-17.29421837,-24.60110786,1.39513981,-0.796927037,148,0.39466725,-0.016058643,-0.000125047,-1.96E-05,-31.38969262,-9.880376649,11.35505272,17.80784751,92.5,0.640067459,-0.008688271,-0.000115959,-3.13E-05,-27.36363278,-6.726275258,17.39360852,23.58481578
273.6,0.246911203,-0.046947806,-0.000182915,-4.30E-06,-37.00032831,-30.37804307,8.652797733,10.63948331,288.8,0.35607012,-0.042806156,-0.000161132,-5.18E-06,-31.0027775,-24.17296154,14.43717475,16.48611954,76,0.116514662,-0.007567577,-0.000105572,4.61E-06,-17.90474424,-23.98156796,1.482380361,-0.340666755,152,0.404778937,-0.016560339,-0.000125797,-1.99E-05,-31.5466928,-9.701810679,11.84014672,18.39361136,95,0.662007268,-0.008979754,-0.000117226,-3.46E-05,-28.42887403,-5.639345683,17.95162853,24.78848703
280.8,0.247854307,-0.048265029,-0.000182976,-3.92E-06,-36.68992957,-30.66544269,8.821365693,10.62871176,296.4,0.356994353,-0.044030845,-0.00016115,-4.65E-06,-30.63718164,-24.50592373,14.60846901,16.44784638,78,0.121129876,-0.007779107,-0.000105959,3.71E-06,-18.495456,-23.38184254,1.576650031,0.110734069,156,0.414572662,-0.017064982,-0.000126521,-2.01E-05,-31.66244123,-9.564498582,12.32088144,18.95026423,97.5,0.683731162,-0.009274389,-0.00011848,-3.76E-05,-29.42432358,-4.622211969,18.52194942,25.9625829
288,0.248594345,-0.049582602,-0.000183012,-3.54E-06,-36.39106494,-30.94130836,8.970228143,10.60515512,304,0.357649903,-0.045255568,-0.000161141,-4.15E-06,-30.28869913,-24.82177455,14.75671711,16.39679448,80,0.125759922,-0.007991413,-0.000106347,2.83E-06,-19.06667544,-22.80160981,1.677639864,0.557159551,160,0.424044736,-0.017572471,-0.000127219,-2.03E-05,-31.73957009,-9.465808159,12.79627295,19.47840153,100,0.70522006,-0.009572141,-0.00011972,-4.05E-05,-30.3521854,-3.67267014,19.10314677,27.10700135
295.2,0.249150677,-0.050900356,-0.000183027,-3.19E-06,-36.10485132,-31.20452317,9.1005988,10.57069725,311.6,0.358065862,-0.046480132,-0.000161109,-3.67E-06,-29.95828578,-25.11955817,14.88357176,16.33519004,82,0.130401308,-0.008204495,-0.000106736,1.99E-06,-19.61872536,-22.24054696,1.78504755,0.998501069,164,0.43319259,-0.018082704,-0.000127893,-2.04E-05,-31.78062608,-9.40319272,13.2654222,19.97865221,102.5,0.726456161,-0.009872975,-0.000120945,-4.31E-05,-31.21463999,-2.788539702,19.69385444,28.22168452
302.4,0.249541812,-0.052218142,-0.000183022,-2.85E-06,-35.8321443,-31.45423151,9.213701685,10.52707552,319.2,0.358269743,-0.047704366,-0.000161055,-3.22E-06,-29.64658974,-25.39862647,14.99067258,16.26506156,84,0.135050655,-0.008418356,-0.000107126,1.17E-06,-20.15192936,-21.69833038,1.898577386,1.43465708,168,0.442014711,-0.018595578,-0.00012854,-2.04E-05,-31.7880697,-9.374191764,13.72751127,20.45167465,105,0.747422906,-0.010176851,-0.000122153,-4.56E-05,-32.01384258,-1.967665422,20.29276347,29.30661662
309.6,0.249785349,-0.053535823,-0.000182998,-2.52E-06,-35.57356449,-31.6898128,9.310758606,10.47588411,326.8,0.358287417,-0.048928119,-0.000160982,-2.80E-06,-29.35398677,-25.65860367,15.07963175,16.18824668,86,0.139704703,-0.008632998,-0.000107516,3.85E-07,-20.66661161,-21.17463594,2.017940229,1.86553293,172,0.450510562,-0.01911099,-0.000129162,-2.04E-05,-31.76427486,-9.376431383,14.18179976,20.8981528,107.5,0.768104935,-0.010483727,-0.000123345,-4.78E-05,-32.7519215,-1.207918982,20.89862096,30.36182172
316.8,0.249897938,-0.054853281,-0.00018296,-2.22E-06,-35.32952249,-31.91085643,9.392978294,10.41857811,334.4,0.358143088,-0.050151257,-0.000160894,-2.41E-06,-29.0806135,-25.89935316,15.15202181,16.10639991,88,0.144360301,-0.008848419,-0.000107906,-3.75E-07,-21.16309657,-20.66913913,2.142853445,2.291040675,176,0.458680516,-0.019628837,-0.000129758,-2.03E-05,-31.71152872,-9.40762441,14.62762118,21.31879247,110,0.788488047,-0.010793561,-0.000124519,-4.99E-05,-33.4309766,-0.507200518,21.5102289,31.38736172
324,0.249895248,-0.056170409,-0.000182907,-1.94E-06,-35.10024261,-32.11713808,9.46154708,10.35647844,342,0.357859276,-0.051373668,-0.000160791,-2.05E-06,-28.82639845,-26.12094642,15.2093655,16.02100111,90,0.14901441,-0.009064622,-0.000108296,-1.11E-06,-21.64170883,-20.1815154,2.273040866,2.711098894,180,0.46652579,-0.020149017,-0.000130328,-2.02E-05,-31.63203183,-9.465570318,15.06437941,21.71431786,112.5,0.808559158,-0.011106305,-0.000125674,-5.19E-05,-34.05307788,0.136559959,22.12644298,32.38333433
331.2,0.249791957,-0.057487113,-0.000182842,-1.68E-06,-34.88578514,-32.30859748,9.517620988,10.29077728,349.6,0.357456823,-0.052595253,-0.000160677,-1.72E-06,-28.59109095,-26.32363412,15.25312757,15.93336462,92,0.153664098,-0.009281604,-0.000108686,-1.81E-06,-22.10277287,-19.71144024,2.408232729,3.125632517,184,0.47404838,-0.020671428,-0.000130873,-2.00E-05,-31.52789838,-9.548154898,15.49154524,22.08546828,115,0.828306268,-0.011421912,-0.000126809,-5.36E-05,-34.62026415,0.725401257,22.74617146,33.34987108
338.4,0.249601741,-0.058803312,-0.000182767,-1.43E-06,-34.68606717,-32.48531752,9.562319145,10.22254404,357.2,0.356954917,-0.053815929,-0.000160552,-1.42E-06,-28.3742879,-26.50781935,15.28470812,15.84464868,94,0.158306541,-0.009499365,-0.000109075,-2.49E-06,-22.54661287,-19.25858948,2.548165626,3.534572643,188,0.481251,-0.021195967,-0.000131393,-1.98E-05,-31.4011568,-9.653349731,15.90865297,22.43299509,117.5,0.847718413,-0.011740334,-0.000127925,-5.52E-05,-35.13454184,1.261329802,23.36837396,34.28713545
