VS__Z,VS__u,VS__w,VS__ezz,VS__kzz,VS__szz_bot,VS__szz_top,VS__sth_bot,VS__sth_top,S__Z,S__u,S__w,S__ezz,S__kzz,S__szz_bot,S__szz_top,S__sth_bot,S__sth_top,B__Z,B__u,B__w,B__ezz,B__kzz,B__szz_bot,B__szz_top,B__sth_bot,B__sth_top,I__Z,I__u,I__w,I__ezz,I__kzz,I__szz_Iot,I__szz_top,I__sth_Iot,I__sth_top,Q__Z,Q__u,Q__w,Q__ezz,Q__kzz,Q__szz_Qot,Q__szz_top,Q__sth_Qot,Q__sth_top
2952,0.223403319,-0.506085009,-0.000160659,4.69E-10,-29.41746097,-29.41818224,9.047027243,9.046810863,3116,0.310218445,-0.45169783,-0.000129308,2.27E-09,-21.59988353,-21.60287486,14.20126458,14.20036718,820,0.388388023,-0.100073489,-0.000121992,1.15E-06,-18.51885402,-20.04044766,17.2906981,16.83422001,3328,0.790093866,-0.466973116,-0.000156809,3.41E-07,-20.64208328,-20.86712981,35.3912627,35.32374874,3332,2.59949327,-0.553818026,-0.000225944,-4.94E-05,-20.80369628,-9.954384321,97.73862192,100.9934155
2959.2,0.223361468,-0.507241552,-0.000160602,4.59E-11,-29.40632538,-29.406396,9.047019825,9.046998636,3123.6,0.310128815,-0.452680264,-0.000129227,1.90E-09,-21.58430065,-21.58680677,14.19996417,14.19921233,822,0.388476181,-0.100317461,-0.00012198,1.18E-06,-18.49914184,-20.05128951,17.30179752,16.83615322,3369,0.787541815,-0.473382397,-0.000155846,3.17E-07,-20.4828038,-20.69165721,35.30472807,35.24207205,3348.5,2.597501309,-0.557540665,-0.000225178,-3.04E-05,-18.58155162,-11.89209038,98.32558687,100.3324252
2966.4,0.223319619,-0.508397683,-0.000160545,-4.41E-10,-29.39523932,-29.3945605,9.046997713,9.047201357,3131.2,0.310039296,-0.453662083,-0.000129146,1.45E-09,-21.56877398,-21.57068581,14.19865419,14.19808064,824,0.388569048,-0.100561408,-0.000121968,1.20E-06,-18.47935168,-20.06220977,17.31319729,16.83833987,3410,0.78551098,-0.479753083,-0.000154925,2.08E-07,-20.35143755,-20.48850754,35.23725191,35.19613091,3365,2.587119564,-0.561246144,-0.00022391,-1.60E-05,-16.85478893,-13.33534955,98.42834588,99.4841777
2973.6,0.223277747,-0.509553402,-0.000160488,-9.97E-10,-29.38420628,-29.38267225,9.046957842,9.04741805,3138.8,0.309949859,-0.454643287,-0.000129065,9.09E-10,-21.55330867,-21.5545068,14.19733135,14.19697192,826,0.388666715,-0.100805331,-0.000121956,1.22E-06,-18.45949244,-20.07319949,17.32490022,16.8407881,3451,0.783830122,-0.486086624,-0.000154032,1.00E-07,-20.21987414,-20.28580708,35.18825471,35.16847483,3381.5,2.572277863,-0.564928239,-0.000222376,-5.98E-06,-15.61143505,-14.29614076,98.20768401,98.60227229
2980.8,0.223235822,-0.51070871,-0.000160431,-1.63E-09,-29.37322971,-29.37072779,9.046896868,9.047647444,3146.4,0.309860475,-0.455623875,-0.000128984,2.69E-10,-21.53791001,-21.53826446,14.19599199,14.19588566,828,0.388769278,-0.101049232,-0.000121945,1.25E-06,-18.43957338,-20.08424945,17.33690903,16.84350621,3492,0.782322109,-0.49238388,-0.000153153,2.46E-08,-20.07774016,-20.09394509,35.15152579,35.14666431,3398,2.555721581,-0.568584022,-0.000220742,2.95E-07,-14.78054014,-14.84541965,97.7947012,97.77523735
2988,0.223193813,-0.511863605,-0.000160374,-2.33E-09,-29.362313,-29.35872375,9.046811167,9.047887943,3154,0.309771106,-0.456603849,-0.000128903,-4.78E-10,-21.52258338,-21.52195342,14.19463202,14.19482101,830,0.388876829,-0.101293111,-0.000121934,1.27E-06,-18.4196041,-20.09535004,17.34922637,16.84650259,3533,0.780860324,-0.498645215,-0.000152278,-1.63E-08,-19.92435979,-19.91361328,35.12060384,35.12382779,3414.5,2.539180002,-0.572212762,-0.000219111,3.68E-06,-14.26824217,-15.07705401,97.28672744,97.04408388
2995.2,0.223151683,-0.51301809,-0.000160316,-3.12E-09,-29.3514594,-29.34665686,9.046696827,9.048137591,3161.6,0.309681708,-0.457583207,-0.000128823,-1.34E-09,-21.5073342,-21.50556827,14.19324694,14.19377672,832,0.388989464,-0.101536969,-0.000121924,1.29E-06,-18.39959453,-20.10649132,17.36185481,16.84978577,3574,0.779374653,-0.504870679,-0.000151402,-3.21E-08,-19.76287414,-19.74168642,35.09085634,35.09721266,3431,2.523594181,-0.57581503,-0.00021754,5.02E-06,-13.98061611,-15.08497464,96.7495824,96.41827484
3002.4,0.223109391,-0.514172162,-0.000160259,-4.00E-09,-29.34067202,-29.33452403,9.046549649,9.048394045,3169.2,0.309592233,-0.458561951,-0.000128742,-2.32E-09,-21.49216787,-21.4891036,14.19183181,14.19275109,834,0.389107276,-0.101780807,-0.000121914,1.32E-06,-18.37955495,-20.11766302,17.37479681,16.85336439,3615,0.77783691,-0.511060168,-0.000150523,-3.39E-08,-19.59691448,-19.57454909,35.05971041,35.06642003,3447.5,2.509347087,-0.579392036,-0.000216051,5.07E-06,-13.83622371,-14.95062559,96.22301636,95.88869579
3009.6,0.223066891,-0.515325822,-0.000160202,-4.96E-09,-29.32995369,-29.32232241,9.046365148,9.048654533,3176.8,0.309502622,-0.45954008,-0.000128661,-3.44E-09,-21.47708971,-21.47255409,14.19038123,14.19174192,836,0.38923036,-0.102024626,-0.000121905,1.34E-06,-18.35949603,-20.12885448,17.38805475,16.85724721,3656,0.77624293,-0.517213535,-0.00014964,-2.99E-08,-19.42921682,-19.40948117,35.026126,35.0320467,3464,2.496464321,-0.582945175,-0.000214646,4.40E-06,-13.77133705,-14.73774054,95.72717172,95.43725067
3016.8,0.223024133,-0.51647907,-0.000160145,-6.02E-09,-29.319307,-29.31004942,9.046138553,9.048915826,3184.4,0.309412813,-0.460517594,-0.00012858,-4.69E-09,-21.46210491,-21.45591458,14.18888936,14.19074646,838,0.389358812,-0.102268427,-0.000121896,1.37E-06,-18.33942876,-20.14005469,17.4016309,16.86144312,3697,0.77459875,-0.523330636,-0.000148754,-2.50E-08,-19.26137195,-19.24490773,34.98994369,34.99488296,3480.5,2.484771925,-0.58647576,-0.000213315,3.42E-06,-13.74044479,-14.49183661,95.26874356,95.04332601
