R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top,,,,,,,,,,
139.1580000000,4.8649000000,495.0000000000,139.2720000000,0.1150000000,0.4730000000,16.0272000000,0.0035112100,0.0034816700,0.0034163100,0.0033863500,996.9460000000,988.4770000000,982.3460000000,973.8130000000,,,,,,,,,,
141.1710000000,5.0074200000,495.0000000000,141.2900000000,0.1166670000,0.4800000000,16.0182000000,0.0035113200,0.0034813600,0.0034134400,0.0033834800,996.7800000000,988.2200000000,981.7210000000,973.1620000000,,,,,,,,,,
143.1850000000,5.1520100000,495.0000000000,143.3090000000,0.1183340000,0.4860000000,16.0091000000,0.0035112600,0.0034812100,0.0034104800,0.0033805200,996.5710000000,987.9930000000,981.0670000000,972.5020000000,,,,,,,,,,
145.1980000000,5.2986800000,495.0000000000,145.3270000000,0.1200000000,0.4930000000,15.9999000000,0.0035112100,0.0034810500,0.0034075200,0.0033775600,996.3660000000,987.7630000000,980.4140000000,971.8420000000,,,,,,,,,,
147.2110000000,5.4474200000,495.0000000000,147.3450000000,0.1216670000,0.4990000000,15.9906000000,0.0035108700,0.0034811800,0.0034044800,0.0033745200,996.0900000000,987.5900000000,979.7220000000,971.1820000000,,,,,,,,,,
149.2230000000,5.5982400000,494.0000000000,149.3640000000,0.1233330000,0.5050000000,15.9811000000,0.0035105400,0.0034812900,0.0034014300,0.0033714900,995.8180000000,987.4150000000,979.0310000000,970.5220000000,,,,,,,,,,
151.2360000000,5.7511600000,494.0000000000,151.3820000000,0.1250000000,0.5120000000,15.9715000000,0.0035105900,0.0034810300,0.0033983000,0.0033683600,995.6210000000,987.1510000000,978.3460000000,969.8180000000,,,,,,,,,,
153.2480000000,5.9061600000,494.0000000000,153.4000000000,0.1266670000,0.5180000000,15.9617000000,0.0035107500,0.0034806400,0.0033951700,0.0033652400,995.4510000000,986.8600000000,977.6700000000,969.1070000000,,,,,,,,,,
155.2610000000,6.0632600000,494.0000000000,155.4190000000,0.1283340000,0.5240000000,15.9518000000,0.0035107700,0.0034804000,0.0033919600,0.0033620300,995.2430000000,986.5950000000,976.9650000000,968.3850000000,,,,,,,,,,
157.2730000000,6.2224100000,494.0000000000,157.4370000000,0.1300000000,0.5310000000,15.9418000000,0.0035106400,0.0034803000,0.0033887500,0.0033588200,995.0040000000,986.3610000000,976.2520000000,967.6720000000,,,,,,,,,,
159.2850000000,6.3837000000,494.0000000000,159.4560000000,0.1316670000,0.5370000000,15.9317000000,0.0035106300,0.0034800800,0.0033854600,0.0033555200,994.7850000000,986.0950000000,975.5270000000,966.9320000000,,,,,,,,,,
161.2970000000,6.5470300000,493.0000000000,161.4740000000,0.1333330000,0.5430000000,15.9215000000,0.0035106300,0.0034798500,0.0033821600,0.0033522200,994.5670000000,985.8280000000,974.8030000000,966.1920000000,,,,,,,,,,
163.3090000000,6.7124900000,493.0000000000,163.4930000000,0.1350000000,0.5490000000,15.9111000000,0.0035105700,0.0034796900,0.0033787800,0.0033488300,994.3290000000,985.5680000000,974.0550000000,965.4360000000,,,,,,,,,,
165.3200000000,6.8800000000,493.0000000000,165.5110000000,0.1366670000,0.5560000000,15.9006000000,0.0035104800,0.0034795300,0.0033754000,0.0033454300,994.0890000000,985.3110000000,973.3060000000,964.6800000000,,,,,,,,,,
167.3310000000,7.0496500000,493.0000000000,167.5300000000,0.1383340000,0.5620000000,15.8899000000,0.0035102300,0.0034795500,0.0033719300,0.0033419600,993.8050000000,985.0850000000,972.5270000000,963.9170000000,,,,,,,,,,
169.3420000000,7.2213400000,493.0000000000,169.5480000000,0.1400000000,0.5680000000,15.8791000000,0.0035098700,0.0034796800,0.0033684500,0.0033384800,993.4950000000,984.8840000000,971.7390000000,963.1610000000,,,,,,,,,,
171.3530000000,7.3951700000,493.0000000000,171.5670000000,0.1416670000,0.5740000000,15.8682000000,0.0035095400,0.0034797600,0.0033648900,0.0033349200,993.1890000000,984.6670000000,970.9340000000,962.3840000000,,,,,,,,,,
173.3640000000,7.5710800000,492.0000000000,173.5850000000,0.1433330000,0.5800000000,15.8572000000,0.0035094900,0.0034795700,0.0033613200,0.0033313600,992.9430000000,984.3920000000,970.1480000000,961.5890000000,,,,,,,,,,
175.3750000000,7.7491100000,492.0000000000,175.6030000000,0.1450000000,0.5860000000,15.8460000000,0.0035093600,0.0034794600,0.0033576700,0.0033277100,992.6730000000,984.1260000000,969.3370000000,960.7800000000,,,,,,,,,,
177.3850000000,7.9292000000,492.0000000000,177.6220000000,0.1466670000,0.5920000000,15.8347000000,0.0035090900,0.0034794800,0.0033540300,0.0033240700,992.3730000000,983.8900000000,968.5170000000,959.9800000000,,,,,,,,,,
179.3950000000,8.1114500000,492.0000000000,179.6400000000,0.1483340000,0.5980000000,15.8233000000,0.0035089900,0.0034793300,0.0033502900,0.0033203400,992.1040000000,983.6120000000,967.6890000000,959.1510000000,,,,,,,,,,
181.4050000000,8.2957500000,492.0000000000,181.6580000000,0.1500000000,0.6040000000,15.8117000000,0.0035088700,0.0034791900,0.0033465500,0.0033166100,991.8330000000,983.3360000000,966.8610000000,958.3220000000,,,,,,,,,,
183.4150000000,8.4822100000,492.0000000000,183.6770000000,0.1516670000,0.6100000000,15.8000000000,0.0035087200,0.0034790900,0.0033427300,0.0033127900,991.5470000000,983.0610000000,966.0110000000,957.4770000000,,,,,,,,,,
185.4240000000,8.6707200000,491.0000000000,185.6950000000,0.1533330000,0.6160000000,15.7882000000,0.0035087200,0.0034788400,0.0033389100,0.0033089800,991.2940000000,982.7540000000,965.1710000000,956.6220000000,,,,,,,,,,
187.4340000000,8.8614200000,491.0000000000,187.7140000000,0.1550000000,0.6220000000,15.7763000000,0.0035089500,0.0034783400,0.0033350100,0.0033050700,991.0890000000,982.3860000000,964.3290000000,955.7310000000,,,,,,,,,,
189.4430000000,9.0541400000,491.0000000000,189.7320000000,0.1566670000,0.6280000000,15.7643000000,0.0035087600,0.0034782600,0.0033311100,0.0033011700,990.7910000000,982.1130000000,963.4590000000,954.8670000000,,,,,,,,,,
191.4520000000,9.2490200000,491.0000000000,191.7510000000,0.1583340000,0.6340000000,15.7521000000,0.0035082200,0.0034785300,0.0033271200,0.0032971800,990.4090000000,981.9090000000,962.5460000000,954.0080000000,,,,,,,,,,
193.4610000000,9.4459800000,491.0000000000,193.7690000000,0.1600000000,0.6400000000,15.7397000000,0.0035079700,0.0034785200,0.0033231200,0.0032931900,990.0890000000,981.6440000000,961.6510000000,953.1310000000,,,,,,,,,,
195.4700000000,9.6451100000,490.0000000000,195.7880000000,0.1616670000,0.6460000000,15.7273000000,0.0035079900,0.0034782300,0.0033190400,0.0032891200,989.8240000000,981.3110000000,960.7550000000,952.2170000000,,,,,,,,,,
197.4780000000,9.8463100000,490.0000000000,197.8060000000,0.1633330000,0.6520000000,15.7147000000,0.0035081400,0.0034778100,0.0033149600,0.0032850400,989.5880000000,980.9500000000,959.8690000000,951.2930000000,,,,,,,,,,
199.4860000000,10.0497000000,490.0000000000,199.8250000000,0.1650000000,0.6570000000,15.7020000000,0.0035079800,0.0034776800,0.0033108000,0.0032808800,989.2800000000,980.6480000000,958.9430000000,950.3690000000,,,,,,,,,,
201.4940000000,10.2551000000,490.0000000000,201.8430000000,0.1666670000,0.6630000000,15.6892000000,0.0035075700,0.0034778300,0.0033066300,0.0032767100,988.9130000000,980.4040000000,958.0010000000,949.4640000000,,,,,,,,,,
203.5020000000,10.4627000000,490.0000000000,203.8610000000,0.1683340000,0.6690000000,15.6763000000,0.0035074500,0.0034776500,0.0033023800,0.0032724600,988.6080000000,980.0860000000,957.0580000000,948.5180000000,,,,,,,,,,
205.5090000000,10.6724000000,489.0000000000,205.8800000000,0.1700000000,0.6750000000,15.6632000000,0.0035074500,0.0034773700,0.0032981200,0.0032682100,988.3280000000,979.7440000000,956.1230000000,947.5660000000,,,,,,,,,,
207.5170000000,10.8842000000,489.0000000000,207.8980000000,0.1716670000,0.6800000000,15.6500000000,0.0035072200,0.0034773200,0.0032937800,0.0032638700,987.9890000000,979.4480000000,955.1540000000,946.6090000000,,,,,,,,,,
209.5230000000,11.0982000000,489.0000000000,209.9160000000,0.1733330000,0.6860000000,15.6366000000,0.0035070100,0.0034772400,0.0032894400,0.0032595400,987.6580000000,979.1440000000,954.1860000000,945.6510000000,,,,,,,,,,
211.5310000000,11.3143000000,489.0000000000,211.9350000000,0.1750000000,0.6920000000,15.6232000000,0.0035071100,0.0034768600,0.0032850200,0.0032551100,987.3870000000,978.7670000000,953.2190000000,944.6520000000,,,,,,,,,,
213.5370000000,11.5325000000,488.0000000000,213.9530000000,0.1766670000,0.6970000000,15.6096000000,0.0035070400,0.0034766300,0.0032805900,0.0032506800,987.0800000000,978.4260000000,952.2420000000,943.6650000000,,,,,,,,,,
215.5440000000,11.7529000000,488.0000000000,215.9720000000,0.1783340000,0.7030000000,15.5959000000,0.0035067100,0.0034766600,0.0032760700,0.0032461700,986.7110000000,978.1350000000,951.2280000000,942.6740000000,,,,,,,,,,
217.5490000000,11.9753000000,488.0000000000,217.9900000000,0.1800000000,0.7080000000,15.5820000000,0.0035065400,0.0034765400,0.0032715600,0.0032416600,986.3760000000,977.8100000000,950.2240000000,941.6740000000,,,,,,,,,,
219.5560000000,12.2000000000,488.0000000000,220.0090000000,0.1816670000,0.7140000000,15.5680000000,0.0035063100,0.0034764700,0.0032669500,0.0032370500,986.0220000000,977.4910000000,949.1970000000,940.6580000000,,,,,,,,,,
221.5610000000,12.4267000000,488.0000000000,222.0270000000,0.1833330000,0.7190000000,15.5539000000,0.0035062200,0.0034762600,0.0032623500,0.0032324500,985.6980000000,977.1420000000,948.1780000000,939.6330000000,,,,,,,,,,
223.5670000000,12.6557000000,487.0000000000,224.0460000000,0.1850000000,0.7250000000,15.5397000000,0.0035062500,0.0034759200,0.0032576500,0.0032277600,985.3960000000,976.7590000000,947.1490000000,938.5800000000,,,,,,,,,,
225.5710000000,12.8867000000,487.0000000000,226.0640000000,0.1866670000,0.7300000000,15.5254000000,0.0035060200,0.0034758500,0.0032529600,0.0032230700,985.0350000000,976.4340000000,946.1030000000,937.5440000000,,,,,,,,,,
227.5770000000,13.1199000000,487.0000000000,228.0830000000,0.1883340000,0.7360000000,15.5109000000,0.0035057700,0.0034757900,0.0032481800,0.0032182900,984.6650000000,976.1050000000,945.0350000000,936.4890000000,,,,,,,,,,
229.5810000000,13.3552000000,487.0000000000,230.1010000000,0.1900000000,0.7410000000,15.4963000000,0.0035057900,0.0034754700,0.0032434000,0.0032135100,984.3540000000,975.7190000000,943.9850000000,935.4170000000,,,,,,,,,,
231.5860000000,13.5927000000,486.0000000000,232.1190000000,0.1916670000,0.7470000000,15.4815000000,0.0035054700,0.0034754800,0.0032385300,0.0032086400,983.9620000000,975.4000000000,942.8940000000,934.3480000000,,,,,,,,,,
233.5900000000,13.8323000000,486.0000000000,234.1370000000,0.1933330000,0.7520000000,15.4667000000,0.0035051600,0.0034754800,0.0032336500,0.0032037700,983.5730000000,975.0790000000,941.8020000000,933.2780000000,,,,,,,,,,
235.5940000000,14.0742000000,486.0000000000,236.1560000000,0.1950000000,0.7570000000,15.4517000000,0.0035051800,0.0034751400,0.0032286900,0.0031988100,983.2500000000,974.6780000000,940.7130000000,932.1660000000,,,,,,,,,,
