ABA_Axi_Z,ABA_Axi_LPF,ABA_Z,ABA_LPF,ABA_ncr,ABA_Z_2,ABA_ncr_2,Yamami_S1_?,Yamami_S1_LPF,Yamami_S3_Z,Yamami_S3_LPF,Yamaki_S1_?_S,Yamaki_S1_ncr_S,Yamaki_S1_?_L,Yamaki_S1_LPF_L,Yamaki_S3_?_1,Yamaki_S3_LPF_1,Yamaki_S3_?_2,Yamaki_S3_LPF_2
,,,,,,,,,95740.73640,0.829218,,,,,,,,
,,,,,,,,,159976.00090,0.829478,,,,,,,,
,,,,,,,,,229843.53640,0.829662,,,,,,,,
,,,,,,,,,275499.01440,0.828585,,,,,,,,
,,,,,,,,,306362.25000,0.809925,,,,,,,,
,,,,,,,,,351056.25000,0.798299,,,,,,,,
,,,,,,,,,420798.71610,0.797221,,,,,,,,
,,,,,,,,,489272.27040,0.806654,,,,,,,,
,,,,,,,,,519523.80840,0.821890,,,,,,,,
,,,,,,,,,551751.84000,0.830107,,,,,,,,
,,,,,,,,,769146.54010,0.830276,,,,,,,,
,,,,,,,,,979327.95210,0.830399,,,,,,,,
,,,,,,,,,1122582.63000,0.804737,,,,,,,,
,,,,,,,,,1193599.95000,0.767341,,,,,,,,
,,,,,,,,,1308164.06300,0.725283,,,,,,,,
,,,,,,,,,1412128.18900,0.686725,,,,,,,,
,,,,,,,,,1570610.49800,0.659878,,,,,,,,
,,,,,,,,,1773504.79300,0.631870,,,,,,,,
,,,,,,,,,2259399.79700,0.609771,,,,,,,,
,,,,,,,,,2588398.32300,0.607501,,,,,,,,
,,,,,,,,,3196085.81800,0.627491,,,,,,,,
,,,,,,,,,3658803.84000,0.654460,,,,,,,,
,,,,,,,,,4003040.57800,0.681406,,,,,,,,
,,,,,,,,,4314012.08000,0.708345,,,,,,,,
,,,,,,,,,4863789.16000,0.741154,,,,,,,,
,,,,,,,,,5329172.25000,0.710791,,,,,,,,
,,,,,,,,,5751842.89000,0.679251,,,,,,,,
,,,,,,,,,6494342.56000,0.652412,,,,,,,,
,,,,,,,,,7007667.84000,0.631398,,,,,,,,
,,,,,,,,,7792472.25000,0.612739,,,,,,,,
,,,,,,,,,9483936.16000,0.604651,,,,,,,,
,,,,,,,,,11366337.96000,0.611761,,,,,,,,
,,,,,,,,,12266105.29000,0.582560,,,,,,,,
,,,,,,,,,13040765.44000,0.549842,,,,,,,,
,,,,,,,,,14073752.25000,0.519472,,,,,,,,
,,,,,,,,,14515338.01000,0.493757,,,,,,,,
,,,,,,,,,15430755.24000,0.463378,,,,,,,,
,,,,,,,,,16156380.25000,0.436501,,,,,,,,
,,,,,,,,,17436470.49000,0.406130,,,,,,,,
,,,,,,,,,19109137.96000,0.366411,,,,,,,,
,,,,,,,,,21910824.81000,0.329053,,,,,,,,
,,,,,,,,,24376931.29000,0.291681,,,,,,,,
,,,,,,,,,28376929.00000,0.253161,,,,,,,,
,,,,,,,,,32532193.69000,0.222821,,,,,,,,
,,,,,,,,,37296670.41000,0.192481,,,,,,,,
,,,,,,,,,44064371.61000,0.165666,,,,,,,,
,,,,,,,,,51282785.44000,0.137672,,,,,,,,
,,,,,,,,,63410961.61000,0.101523,,,,,,,,
,,,,,,,,,83293002.25000,0.064235,,,,,,,,
