R,Zinv,Sinv,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
29.2523000000,0.7140000000,29.2639000000,624.1201000000,0.0448000000,0.0307000000,1.2475000000,0.0010500200,0.0010499600,0.0010499900,0.0010499800,300.0050000000,299.9900000000,300.0000000000,299.9940000000
30.5231000000,0.7770000000,30.5363000000,622.8477000000,0.0467000000,0.0320000000,1.2474300000,0.0010500200,0.0010499600,0.0010499900,0.0010499800,300.0050000000,299.9900000000,300.0000000000,299.9940000000
31.7937000000,0.8430000000,31.8086000000,621.5754000000,0.0487000000,0.0334000000,1.2473600000,0.0010500500,0.0010499300,0.0010500000,0.0010499800,300.0100000000,299.9840000000,300.0020000000,299.9920000000
33.0642000000,0.9120000000,33.0810000000,620.3030000000,0.0506000000,0.0347000000,1.2472900000,0.0010501100,0.0010498700,0.0010500000,0.0010499800,300.0250000000,299.9700000000,300.0070000000,299.9870000000
34.3345000000,0.9830000000,34.3533000000,619.0307000000,0.0526000000,0.0361000000,1.2472100000,0.0010500700,0.0010499100,0.0010500000,0.0010499800,300.0150000000,299.9790000000,300.0050000000,299.9900000000
35.6047000000,1.0573400000,35.6257000000,617.7583000000,0.0545000000,0.0374000000,1.2471400000,0.0010500600,0.0010499100,0.0010500100,0.0010499800,300.0150000000,299.9800000000,300.0060000000,299.9900000000
36.8747000000,1.1341900000,36.8980000000,616.4860000000,0.0565000000,0.0387000000,1.2470600000,0.0010500600,0.0010499100,0.0010500100,0.0010499800,300.0150000000,299.9800000000,300.0070000000,299.9900000000
38.1446000000,1.2137500000,38.1703000000,615.2137000000,0.0584000000,0.0401000000,1.2469800000,0.0010500300,0.0010499500,0.0010500200,0.0010499800,300.0070000000,299.9880000000,300.0050000000,299.9920000000
39.4143000000,1.2959600000,39.4427000000,613.9413000000,0.0604000000,0.0414000000,1.2468900000,0.0010501000,0.0010498700,0.0010500200,0.0010499800,300.0230000000,299.9710000000,300.0110000000,299.9870000000
40.6838000000,1.3808900000,40.7150000000,612.6690000000,0.0623000000,0.0427000000,1.2468100000,0.0010501700,0.0010498000,0.0010500300,0.0010499800,300.0390000000,299.9550000000,300.0180000000,299.9830000000
41.9531000000,1.4685100000,41.9874000000,611.3966000000,0.0643000000,0.0441000000,1.2467200000,0.0010501000,0.0010498800,0.0010500400,0.0010499800,300.0240000000,299.9710000000,300.0140000000,299.9880000000
43.2223000000,1.5588400000,43.2597000000,610.1243000000,0.0662000000,0.0454000000,1.2466200000,0.0010500200,0.0010499500,0.0010500400,0.0010499800,300.0080000000,299.9870000000,300.0110000000,299.9930000000
44.4912000000,1.6518200000,44.5321000000,608.8519000000,0.0682000000,0.0467000000,1.2465300000,0.0010500400,0.0010499200,0.0010500500,0.0010499900,300.0130000000,299.9820000000,300.0130000000,299.9920000000
45.7599000000,1.7475300000,45.8044000000,607.5796000000,0.0701000000,0.0480000000,1.2464300000,0.0010500200,0.0010499500,0.0010500500,0.0010499900,300.0080000000,299.9870000000,300.0130000000,299.9950000000
47.0285000000,1.8459200000,47.0768000000,606.3072000000,0.0721000000,0.0494000000,1.2463300000,0.0010499500,0.0010500100,0.0010500600,0.0010500000,299.9940000000,300.0020000000,300.0100000000,300.0000000000
48.2968000000,1.9469900000,48.3491000000,605.0349000000,0.0740000000,0.0507000000,1.2462300000,0.0010499300,0.0010500400,0.0010500600,0.0010500000,299.9880000000,300.0080000000,300.0090000000,300.0030000000
49.5649000000,2.0507500000,49.6214000000,603.7626000000,0.0759000000,0.0520000000,1.2461300000,0.0010499600,0.0010500000,0.0010500600,0.0010500100,299.9960000000,300.0010000000,300.0110000000,300.0020000000
50.8328000000,2.1572000000,50.8938000000,602.4902000000,0.0779000000,0.0534000000,1.2460200000,0.0010500000,0.0010499600,0.0010500700,0.0010500200,300.0040000000,299.9930000000,300.0140000000,300.0010000000
52.1004000000,2.2663300000,52.1661000000,601.2179000000,0.0798000000,0.0547000000,1.2459100000,0.0010500800,0.0010498900,0.0010500700,0.0010500200,300.0220000000,299.9760000000,300.0210000000,299.9960000000
53.3679000000,2.3781400000,53.4385000000,599.9455000000,0.0818000000,0.0560000000,1.2457900000,0.0010501100,0.0010498500,0.0010500800,0.0010500200,300.0300000000,299.9680000000,300.0250000000,299.9950000000
54.6350000000,2.4926800000,54.7108000000,598.6732000000,0.0837000000,0.0574000000,1.2456800000,0.0010500500,0.0010499100,0.0010500800,0.0010500200,300.0180000000,299.9810000000,300.0220000000,299.9990000000
55.9020000000,2.6098600000,55.9832000000,597.4008000000,0.0857000000,0.0587000000,1.2455600000,0.0010500400,0.0010499200,0.0010500900,0.0010500300,300.0140000000,299.9850000000,300.0230000000,300.0010000000
57.1687000000,2.7297700000,57.2555000000,596.1285000000,0.0876000000,0.0600000000,1.2454400000,0.0010500300,0.0010499300,0.0010501000,0.0010500300,300.0140000000,299.9860000000,300.0230000000,300.0030000000
58.4351000000,2.8523300000,58.5279000000,594.8561000000,0.0896000000,0.0614000000,1.2453100000,0.0010500300,0.0010499300,0.0010501000,0.0010500400,300.0130000000,299.9870000000,300.0250000000,300.0040000000
59.7013000000,2.9776000000,59.8002000000,593.5838000000,0.0915000000,0.0627000000,1.2451800000,0.0010500200,0.0010499400,0.0010501100,0.0010500500,300.0110000000,299.9900000000,300.0250000000,300.0060000000
60.9672000000,3.1055300000,61.0725000000,592.3115000000,0.0935000000,0.0640000000,1.2450600000,0.0010500900,0.0010498700,0.0010501200,0.0010500500,300.0270000000,299.9740000000,300.0310000000,300.0030000000
62.2328000000,3.2361500000,62.3449000000,591.0391000000,0.0954000000,0.0654000000,1.2449200000,0.0010501300,0.0010498200,0.0010501300,0.0010500600,300.0370000000,299.9650000000,300.0360000000,300.0010000000
63.4981000000,3.3694800000,63.6172000000,589.7668000000,0.0974000000,0.0667000000,1.2447900000,0.0010500500,0.0010499000,0.0010501300,0.0010500600,300.0200000000,299.9830000000,300.0330000000,300.0070000000
64.7632000000,3.5054600000,64.8896000000,588.4944000000,0.0993000000,0.0680000000,1.2446500000,0.0010500500,0.0010499100,0.0010501400,0.0010500700,300.0200000000,299.9840000000,300.0350000000,300.0090000000
66.0279000000,3.6441300000,66.1619000000,587.2221000000,0.1010000000,0.0693000000,1.2445100000,0.0010500900,0.0010498700,0.0010501500,0.0010500800,300.0290000000,299.9760000000,300.0390000000,300.0080000000
67.2924000000,3.7854900000,67.4343000000,585.9497000000,0.1030000000,0.0707000000,1.2443700000,0.0010500600,0.0010498900,0.0010501600,0.0010500800,300.0240000000,299.9810000000,300.0400000000,300.0110000000
68.5566000000,3.9295300000,68.7066000000,584.6774000000,0.1050000000,0.0720000000,1.2442300000,0.0010500000,0.0010499500,0.0010501700,0.0010500900,300.0110000000,299.9960000000,300.0370000000,300.0170000000
69.8204000000,4.0762600000,69.9790000000,583.4050000000,0.1070000000,0.0733000000,1.2440800000,0.0010499700,0.0010499800,0.0010501800,0.0010501000,300.0060000000,300.0010000000,300.0380000000,300.0200000000
71.0840000000,4.2256500000,71.2513000000,582.1327000000,0.1090000000,0.0746000000,1.2439300000,0.0010499900,0.0010499600,0.0010501900,0.0010501100,300.0100000000,299.9980000000,300.0400000000,300.0210000000
72.3472000000,4.3777500000,72.5236000000,580.8604000000,0.1110000000,0.0760000000,1.2437800000,0.0010498900,0.0010500600,0.0010501900,0.0010501200,299.9890000000,300.0200000000,300.0350000000,300.0300000000
73.6101000000,4.5325000000,73.7960000000,579.5880000000,0.1130000000,0.0773000000,1.2436200000,0.0010498800,0.0010500600,0.0010502000,0.0010501300,299.9880000000,300.0230000000,300.0360000000,300.0330000000
74.8727000000,4.6899100000,75.0683000000,578.3157000000,0.1150000000,0.0786000000,1.2434600000,0.0010499900,0.0010499600,0.0010502100,0.0010501400,300.0110000000,300.0000000000,300.0450000000,300.0280000000
76.1349000000,4.8500400000,76.3407000000,577.0433000000,0.1170000000,0.0800000000,1.2433000000,0.0010499700,0.0010499800,0.0010502100,0.0010501500,300.0070000000,300.0050000000,300.0450000000,300.0310000000
77.3968000000,5.0128200000,77.6130000000,575.7710000000,0.1190000000,0.0813000000,1.2431400000,0.0010499200,0.0010500300,0.0010502200,0.0010501500,299.9960000000,300.0170000000,300.0430000000,300.0360000000
78.6583000000,5.1782800000,78.8854000000,574.4986000000,0.1210000000,0.0826000000,1.2429700000,0.0010498600,0.0010500900,0.0010502300,0.0010501600,299.9840000000,300.0300000000,300.0400000000,300.0420000000
79.9195000000,5.3464400000,80.1577000000,573.2263000000,0.1230000000,0.0839000000,1.2428000000,0.0010497600,0.0010501900,0.0010502300,0.0010501700,299.9620000000,300.0540000000,300.0340000000,300.0510000000
81.1803000000,5.5172400000,81.4301000000,571.9539000000,0.1250000000,0.0853000000,1.2426200000,0.0010497000,0.0010502500,0.0010502300,0.0010501800,299.9490000000,300.0670000000,300.0310000000,300.0570000000
82.4408000000,5.6907300000,82.7024000000,570.6816000000,0.1270000000,0.0866000000,1.2424500000,0.0010496800,0.0010502800,0.0010502300,0.0010501900,299.9440000000,300.0740000000,300.0290000000,300.0600000000
83.7009000000,5.8668800000,83.9747000000,569.4093000000,0.1290000000,0.0879000000,1.2422700000,0.0010496500,0.0010503100,0.0010502300,0.0010502000,299.9380000000,300.0800000000,300.0270000000,300.0640000000
84.9606000000,6.0457200000,85.2471000000,568.1369000000,0.1300000000,0.0892000000,1.2420800000,0.0010496500,0.0010503100,0.0010502200,0.0010502000,299.9380000000,300.0820000000,300.0250000000,300.0650000000
86.2199000000,6.2272000000,86.5194000000,566.8646000000,0.1320000000,0.0905000000,1.2418900000,0.0010496900,0.0010502700,0.0010502200,0.0010502100,299.9470000000,300.0740000000,300.0270000000,300.0640000000
87.4789000000,6.4113800000,87.7918000000,565.5922000000,0.1340000000,0.0919000000,1.2417000000,0.0010496000,0.0010503800,0.0010502100,0.0010502100,299.9250000000,300.0970000000,300.0190000000,300.0710000000
88.7374000000,6.5982400000,89.0641000000,564.3199000000,0.1360000000,0.0932000000,1.2415000000,0.0010495000,0.0010504800,0.0010502000,0.0010502100,299.9040000000,300.1190000000,300.0110000000,300.0780000000
89.9956000000,6.7877200000,90.3365000000,563.0475000000,0.1380000000,0.0945000000,1.2413000000,0.0010495000,0.0010504900,0.0010501800,0.0010502100,299.9030000000,300.1210000000,300.0070000000,300.0780000000
91.2533000000,6.9799200000,91.6088000000,561.7752000000,0.1400000000,0.0958000000,1.2410900000,0.0010494200,0.0010505800,0.0010501700,0.0010502100,299.8830000000,300.1420000000,299.9980000000,300.0840000000
92.5107000000,7.1747400000,92.8812000000,560.5028000000,0.1420000000,0.0972000000,1.2408800000,0.0010493900,0.0010506200,0.0010501500,0.0010502000,299.8760000000,300.1490000000,299.9920000000,300.0850000000
93.7676000000,7.3722500000,94.1535000000,559.2305000000,0.1440000000,0.0985000000,1.2406700000,0.0010494100,0.0010506100,0.0010501200,0.0010502000,299.8790000000,300.1470000000,299.9880000000,300.0830000000
95.0241000000,7.5724200000,95.4258000000,557.9582000000,0.1460000000,0.0998000000,1.2404500000,0.0010493400,0.0010507000,0.0010501000,0.0010501900,299.8610000000,300.1650000000,299.9770000000,300.0870000000
96.2802000000,7.7752700000,96.6982000000,556.6858000000,0.1480000000,0.1010000000,1.2402200000,0.0010492200,0.0010508300,0.0010500700,0.0010501700,299.8330000000,300.1940000000,299.9630000000,300.0930000000
97.5358000000,7.9807700000,97.9705000000,555.4135000000,0.1500000000,0.1020000000,1.2399900000,0.0010491200,0.0010509500,0.0010500300,0.0010501600,299.8080000000,300.2190000000,299.9480000000,300.0970000000
98.7910000000,8.1889300000,99.2429000000,554.1411000000,0.1520000000,0.1040000000,1.2397600000,0.0010491000,0.0010509800,0.0010499900,0.0010501400,299.8020000000,300.2250000000,299.9390000000,300.0960000000
100.0460000000,8.3997500000,100.5150000000,552.8690000000,0.1540000000,0.1050000000,1.2395100000,0.0010490500,0.0010510500,0.0010499400,0.0010501200,299.7890000000,300.2390000000,299.9250000000,300.0950000000
101.3000000000,8.6132500000,101.7880000000,551.5960000000,0.1560000000,0.1060000000,1.2392700000,0.0010489700,0.0010511600,0.0010498900,0.0010500900,299.7660000000,300.2610000000,299.9090000000,300.0960000000
102.5540000000,8.8293800000,103.0600000000,550.3240000000,0.1580000000,0.1080000000,1.2390100000,0.0010489600,0.0010512000,0.0010498300,0.0010500600,299.7600000000,300.2670000000,299.8950000000,300.0910000000
103.8070000000,9.0481900000,104.3320000000,549.0520000000,0.1600000000,0.1090000000,1.2387500000,0.0010489000,0.0010512800,0.0010497800,0.0010500200,299.7440000000,300.2830000000,299.8780000000,300.0890000000
105.0600000000,9.2696500000,105.6050000000,547.7790000000,0.1620000000,0.1100000000,1.2384900000,0.0010487700,0.0010514500,0.0010497000,0.0010499800,299.7090000000,300.3160000000,299.8530000000,300.0900000000
106.3130000000,9.4937700000,106.8770000000,546.5070000000,0.1640000000,0.1120000000,1.2382100000,0.0010487100,0.0010515300,0.0010496300,0.0010499300,299.6930000000,300.3310000000,299.8340000000,300.0860000000
107.5650000000,9.7205200000,108.1490000000,545.2350000000,0.1660000000,0.1130000000,1.2379300000,0.0010488000,0.0010514800,0.0010495400,0.0010498700,299.7070000000,300.3160000000,299.8210000000,300.0700000000
108.8160000000,9.9499500000,109.4220000000,543.9620000000,0.1670000000,0.1140000000,1.2376400000,0.0010488100,0.0010515100,0.0010494600,0.0010498200,299.7020000000,300.3190000000,299.8020000000,300.0590000000
110.0670000000,10.1820000000,110.6940000000,542.6900000000,0.1690000000,0.1160000000,1.2373500000,0.0010486700,0.0010516800,0.0010493600,0.0010497500,299.6660000000,300.3530000000,299.7720000000,300.0550000000
111.3180000000,10.4168000000,111.9660000000,541.4180000000,0.1710000000,0.1170000000,1.2370400000,0.0010486200,0.0010517700,0.0010492600,0.0010496800,299.6490000000,300.3680000000,299.7470000000,300.0460000000
112.5680000000,10.6541000000,113.2390000000,540.1450000000,0.1730000000,0.1180000000,1.2367300000,0.0010486600,0.0010517800,0.0010491500,0.0010495900,299.6480000000,300.3650000000,299.7240000000,300.0280000000
113.8170000000,10.8942000000,114.5110000000,538.8730000000,0.1750000000,0.1190000000,1.2364100000,0.0010486100,0.0010518800,0.0010490300,0.0010495100,299.6300000000,300.3810000000,299.6950000000,300.0160000000
115.0660000000,11.1369000000,115.7830000000,537.6010000000,0.1770000000,0.1210000000,1.2360900000,0.0010486100,0.0010519300,0.0010489000,0.0010494100,299.6210000000,300.3860000000,299.6670000000,299.9980000000
116.3150000000,11.3822000000,117.0560000000,536.3280000000,0.1790000000,0.1220000000,1.2357500000,0.0010486000,0.0010519900,0.0010487700,0.0010493100,299.6120000000,300.3920000000,299.6380000000,299.9800000000
117.5630000000,11.6302000000,118.3280000000,535.0560000000,0.1810000000,0.1230000000,1.2354100000,0.0010486300,0.0010520200,0.0010486300,0.0010492000,299.6080000000,300.3900000000,299.6090000000,299.9570000000
118.8100000000,11.8808000000,119.6000000000,533.7840000000,0.1830000000,0.1250000000,1.2350600000,0.0010487400,0.0010519600,0.0010484900,0.0010490800,299.6230000000,300.3710000000,299.5840000000,299.9280000000
120.0570000000,12.1341000000,120.8730000000,532.5110000000,0.1850000000,0.1260000000,1.2347000000,0.0010488300,0.0010519300,0.0010483300,0.0010489500,299.6340000000,300.3550000000,299.5560000000,299.8970000000
121.3030000000,12.3900000000,122.1450000000,531.2390000000,0.1870000000,0.1270000000,1.2343400000,0.0010488900,0.0010519300,0.0010481700,0.0010488200,299.6360000000,300.3470000000,299.5260000000,299.8680000000
122.5490000000,12.6485000000,123.4170000000,529.9670000000,0.1890000000,0.1280000000,1.2339600000,0.0010490400,0.0010518500,0.0010480100,0.0010486800,299.6570000000,300.3200000000,299.4980000000,299.8310000000
123.7940000000,12.9097000000,124.6900000000,528.6940000000,0.1910000000,0.1300000000,1.2335800000,0.0010491800,0.0010517700,0.0010478400,0.0010485300,299.6780000000,300.2920000000,299.4710000000,299.7940000000
125.0390000000,13.1736000000,125.9620000000,527.4220000000,0.1930000000,0.1310000000,1.2331900000,0.0010493800,0.0010516400,0.0010476600,0.0010483700,299.7100000000,300.2520000000,299.4460000000,299.7500000000
126.2830000000,13.4400000000,127.2340000000,526.1500000000,0.1950000000,0.1320000000,1.2328000000,0.0010495800,0.0010515100,0.0010474900,0.0010482100,299.7420000000,300.2130000000,299.4200000000,299.7060000000
127.5270000000,13.7091000000,128.5070000000,524.8770000000,0.1970000000,0.1340000000,1.2324000000,0.0010498100,0.0010513400,0.0010473100,0.0010480400,299.7800000000,300.1660000000,299.3960000000,299.6580000000
128.7700000000,13.9809000000,129.7790000000,523.6050000000,0.1990000000,0.1350000000,1.2319900000,0.0010499900,0.0010512200,0.0010471300,0.0010478700,299.8090000000,300.1280000000,299.3690000000,299.6120000000
130.0120000000,14.2553000000,131.0520000000,522.3320000000,0.2010000000,0.1360000000,1.2315800000,0.0010502900,0.0010509900,0.0010469600,0.0010476900,299.8630000000,300.0650000000,299.3500000000,299.5580000000
131.2540000000,14.5323000000,132.3240000000,521.0600000000,0.2030000000,0.1370000000,1.2311700000,0.0010506300,0.0010507100,0.0010467800,0.0010475200,299.9260000000,299.9920000000,299.3340000000,299.5010000000
132.4950000000,14.8120000000,133.5960000000,519.7880000000,0.2040000000,0.1390000000,1.2307500000,0.0010509500,0.0010504400,0.0010466100,0.0010473300,299.9860000000,299.9210000000,299.3180000000,299.4430000000
133.7360000000,15.0942000000,134.8690000000,518.5150000000,0.2060000000,0.1400000000,1.2303400000,0.0010512700,0.0010501800,0.0010464400,0.0010471500,300.0440000000,299.8530000000,299.3020000000,299.3870000000
134.9760000000,15.3792000000,136.1410000000,517.2430000000,0.2080000000,0.1410000000,1.2299200000,0.0010517500,0.0010497500,0.0010462900,0.0010469800,300.1400000000,299.7450000000,299.3000000000,299.3190000000
136.2150000000,15.6667000000,137.4130000000,515.9710000000,0.2100000000,0.1430000000,1.2295000000,0.0010522400,0.0010493100,0.0010461400,0.0010468000,300.2370000000,299.6370000000,299.2980000000,299.2510000000
137.4540000000,15.9568000000,138.6860000000,514.6980000000,0.2120000000,0.1440000000,1.2290800000,0.0010528600,0.0010487200,0.0010460100,0.0010466300,300.3650000000,299.4960000000,299.3120000000,299.1750000000
138.6920000000,16.2496000000,139.9580000000,513.4260000000,0.2140000000,0.1450000000,1.2286700000,0.0010535200,0.0010480900,0.0010458900,0.0010464600,300.5020000000,299.3470000000,299.3280000000,299.0970000000
139.9300000000,16.5450000000,141.2300000000,512.1540000000,0.2160000000,0.1460000000,1.2282600000,0.0010541700,0.0010474500,0.0010458000,0.0010463100,300.6390000000,299.1970000000,299.3520000000,299.0220000000
141.1670000000,16.8431000000,142.5030000000,510.8810000000,0.2180000000,0.1480000000,1.2278600000,0.0010547400,0.0010469000,0.0010457200,0.0010461700,300.7580000000,299.0650000000,299.3710000000,298.9530000000
142.4030000000,17.1438000000,143.7750000000,509.6090000000,0.2200000000,0.1490000000,1.2274700000,0.0010554900,0.0010461200,0.0010456900,0.0010460500,300.9230000000,298.8870000000,299.4140000000,298.8760000000
143.6390000000,17.4471000000,145.0470000000,508.3370000000,0.2220000000,0.1500000000,1.2270900000,0.0010562900,0.0010453100,0.0010456600,0.0010459400,301.0960000000,298.7010000000,299.4600000000,298.7980000000
144.8740000000,17.7530000000,146.3200000000,507.0640000000,0.2240000000,0.1520000000,1.2267300000,0.0010571000,0.0010444500,0.0010457000,0.0010458700,301.2760000000,298.5080000000,299.5220000000,298.7260000000
146.1080000000,18.0615000000,147.5920000000,505.7920000000,0.2260000000,0.1530000000,1.2263800000,0.0010579100,0.0010435800,0.0010457400,0.0010458000,301.4580000000,298.3130000000,299.5850000000,298.6540000000
147.3420000000,18.3726000000,148.8640000000,504.5200000000,0.2280000000,0.1540000000,1.2260600000,0.0010589500,0.0010424500,0.0010458700,0.0010457900,301.6950000000,298.0640000000,299.6820000000,298.5780000000
148.5750000000,18.6864000000,150.1370000000,503.2470000000,0.2300000000,0.1550000000,1.2257500000,0.0010599800,0.0010413300,0.0010460000,0.0010457900,301.9300000000,297.8160000000,299.7790000000,298.5020000000
149.8070000000,19.0027000000,151.4090000000,501.9750000000,0.2320000000,0.1570000000,1.2254800000,0.0010609300,0.0010402300,0.0010462400,0.0010458600,302.1550000000,297.5790000000,299.8950000000,298.4460000000
151.0390000000,19.3217000000,152.6810000000,500.7030000000,0.2340000000,0.1580000000,1.2252300000,0.0010618400,0.0010391700,0.0010464800,0.0010459400,302.3710000000,297.3520000000,300.0080000000,298.3930000000
152.2700000000,19.6433000000,153.9540000000,499.4300000000,0.2360000000,0.1590000000,1.2250200000,0.0010629800,0.0010378300,0.0010468600,0.0010461200,302.6450000000,297.0680000000,300.1650000000,298.3440000000
153.5000000000,19.9675000000,155.2260000000,498.1580000000,0.2380000000,0.1610000000,1.2248400000,0.0010642000,0.0010364000,0.0010472300,0.0010462900,302.9380000000,296.7660000000,300.3280000000,298.2890000000
154.7300000000,20.2943000000,156.4980000000,496.8860000000,0.2400000000,0.1620000000,1.2247000000,0.0010653200,0.0010349900,0.0010477700,0.0010466000,303.2210000000,296.4760000000,300.5200000000,298.2620000000
155.9590000000,20.6238000000,157.7710000000,495.6130000000,0.2410000000,0.1630000000,1.2246100000,0.0010664500,0.0010335800,0.0010483000,0.0010469000,303.5030000000,296.1870000000,300.7110000000,298.2360000000
157.1870000000,20.9558000000,159.0430000000,494.3410000000,0.2430000000,0.1650000000,1.2245600000,0.0010676400,0.0010320200,0.0010490200,0.0010473500,303.8120000000,295.8730000000,300.9470000000,298.2320000000
158.4150000000,21.2904000000,160.3150000000,493.0690000000,0.2450000000,0.1660000000,1.2245700000,0.0010687600,0.0010305300,0.0010497300,0.0010478000,304.1060000000,295.5760000000,301.1790000000,298.2340000000
159.6420000000,21.6277000000,161.5880000000,491.7960000000,0.2470000000,0.1680000000,1.2246400000,0.0010698700,0.0010289600,0.0010506600,0.0010484300,304.4110000000,295.2720000000,301.4550000000,298.2680000000
160.8680000000,21.9675000000,162.8600000000,490.5240000000,0.2490000000,0.1690000000,1.2247700000,0.0010710200,0.0010273400,0.0010515900,0.0010490600,304.7240000000,294.9590000000,301.7340000000,298.3000000000
162.0930000000,22.3099000000,164.1320000000,489.2520000000,0.2510000000,0.1700000000,1.2249600000,0.0010721900,0.0010256000,0.0010527500,0.0010498900,305.0570000000,294.6310000000,302.0660000000,298.3680000000
163.3180000000,22.6549000000,165.4050000000,487.9790000000,0.2530000000,0.1720000000,1.2252200000,0.0010733200,0.0010239000,0.0010539100,0.0010507300,305.3820000000,294.3120000000,302.3960000000,298.4390000000
164.5420000000,23.0026000000,166.6770000000,486.7070000000,0.2550000000,0.1730000000,1.2255500000,0.0010742200,0.0010223100,0.0010553300,0.0010517900,305.6730000000,294.0330000000,302.7670000000,298.5680000000
165.7650000000,23.3528000000,167.9490000000,485.4350000000,0.2570000000,0.1750000000,1.2259700000,0.0010751600,0.0010206800,0.0010567500,0.0010528500,305.9730000000,293.7450000000,303.1410000000,298.6940000000
166.9870000000,23.7056000000,169.2220000000,484.1620000000,0.2590000000,0.1760000000,1.2264600000,0.0010758700,0.0010191500,0.0010584500,0.0010541700,306.2430000000,293.4950000000,303.5620000000,298.8830000000
168.2090000000,24.0610000000,170.4940000000,482.8900000000,0.2610000000,0.1780000000,1.2270400000,0.0010765400,0.0010176700,0.0010601500,0.0010554900,306.5020000000,293.2560000000,303.9800000000,299.0750000000
169.4300000000,24.4190000000,171.7670000000,481.6170000000,0.2630000000,0.1800000000,1.2277100000,0.0010769500,0.0010163100,0.0010621500,0.0010570900,306.7240000000,293.0630000000,304.4460000000,299.3370000000
170.6500000000,24.7796000000,173.0390000000,480.3450000000,0.2650000000,0.1810000000,1.2284700000,0.0010774200,0.0010148900,0.0010641400,0.0010586900,306.9580000000,292.8570000000,304.9160000000,299.5950000000
171.8700000000,25.1428000000,174.3110000000,479.0730000000,0.2670000000,0.1830000000,1.2293200000,0.0010773900,0.0010138400,0.0010664500,0.0010605900,307.1040000000,292.7510000000,305.4210000000,299.9430000000
173.0880000000,25.5085000000,175.5840000000,477.8000000000,0.2690000000,0.1840000000,1.2302700000,0.0010773500,0.0010127900,0.0010687500,0.0010624900,307.2480000000,292.6460000000,305.9250000000,300.2910000000
174.3060000000,25.8769000000,176.8560000000,476.5280000000,0.2710000000,0.1860000000,1.2313100000,0.0010768400,0.0010120900,0.0010713700,0.0010647000,307.3080000000,292.6360000000,306.4660000000,300.7300000000
175.5230000000,26.2478000000,178.1280000000,475.2560000000,0.2730000000,0.1880000000,1.2324600000,0.0010763400,0.0010113700,0.0010739800,0.0010669100,307.3690000000,292.6260000000,307.0070000000,301.1690000000
176.7390000000,26.6213000000,179.4010000000,473.9830000000,0.2750000000,0.1900000000,1.2337000000,0.0010751900,0.0010111800,0.0010768900,0.0010694400,307.3090000000,292.7490000000,307.5720000000,301.7120000000
177.9550000000,26.9973000000,180.6730000000,472.7110000000,0.2770000000,0.1910000000,1.2350300000,0.0010740300,0.0010109900,0.0010798100,0.0010719600,307.2470000000,292.8750000000,308.1360000000,302.2550000000
179.1700000000,27.3760000000,181.9450000000,471.4390000000,0.2780000000,0.1930000000,1.2364600000,0.0010720500,0.0010115200,0.0010830000,0.0010748000,307.0210000000,293.1770000000,308.7060000000,302.9140000000
180.3840000000,27.7572000000,183.2180000000,470.1660000000,0.2800000000,0.1950000000,1.2379800000,0.0010701200,0.0010119900,0.0010861900,0.0010776400,306.8070000000,293.4690000000,309.2800000000,303.5690000000
181.5970000000,28.1410000000,184.4900000000,468.8940000000,0.2820000000,0.1970000000,1.2395800000,0.0010672400,0.0010133100,0.0010896200,0.0010807700,306.4020000000,293.9660000000,309.8440000000,304.3440000000
182.8090000000,28.5274000000,185.7620000000,467.6220000000,0.2840000000,0.1990000000,1.2412600000,0.0010643000,0.0010147100,0.0010930500,0.0010839100,305.9820000000,294.4780000000,310.4040000000,305.1250000000
184.0200000000,28.9164000000,187.0350000000,466.3490000000,0.2860000000,0.2010000000,1.2430200000,0.0010602000,0.0010172000,0.0010966500,0.0010872900,305.3170000000,295.2500000000,310.9250000000,306.0330000000
185.2310000000,29.3079000000,188.3070000000,465.0770000000,0.2880000000,0.2030000000,1.2448400000,0.0010561200,0.0010196700,0.0011002500,0.0010906800,304.6580000000,296.0170000000,311.4480000000,306.9410000000
186.4410000000,29.7019000000,189.5790000000,463.8050000000,0.2900000000,0.2050000000,1.2467100000,0.0010507800,0.0010233900,0.0011039500,0.0010942600,303.7270000000,297.0710000000,311.9080000000,307.9740000000
187.6500000000,30.0986000000,190.8520000000,462.5320000000,0.2920000000,0.2070000000,1.2486200000,0.0010454000,0.0010271400,0.0011076500,0.0010978500,302.7900000000,298.1320000000,312.3660000000,309.0090000000
188.8580000000,30.4978000000,192.1240000000,461.2600000000,0.2940000000,0.2090000000,1.2505500000,0.0010384200,0.0010325500,0.0011113100,0.0011015500,301.4980000000,299.5630000000,312.7120000000,310.1780000000
190.0650000000,30.8996000000,193.3960000000,459.9880000000,0.2960000000,0.2110000000,1.2524900000,0.0010314700,0.0010379100,0.0011149900,0.0011052500,300.2120000000,300.9870000000,313.0610000000,311.3450000000
191.2710000000,31.3039000000,194.6690000000,458.7150000000,0.2980000000,0.2130000000,1.2544200000,0.0010230400,0.0010448800,0.0011184800,0.0011089500,298.5910000000,302.7620000000,313.2740000000,312.6180000000
192.4770000000,31.7108000000,195.9410000000,457.4430000000,0.3000000000,0.2150000000,1.2563000000,0.0010146200,0.0010518400,0.0011219900,0.0011126500,296.9710000000,304.5360000000,313.4880000000,313.8900000000
