R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
122.822,54.299,885.394,134.39,1.10E-01,-9.31E-02,-3.51968,-4.41E-04,-4.33E-04,-7.53E-04,-7.62E-04,-146.687,-145.311,-194.688,-196.014
126.424,56.1994,883.4936,138.463,1.13E-01,-9.69E-02,-3.52311,-4.54E-04,-4.45E-04,-7.63E-04,-7.71E-04,-150.057,-148.579,-197.529,-198.72
130.018,58.1144,881.5786,142.535,1.17E-01,-1.01E-01,-3.52637,-4.67E-04,-4.57E-04,-7.71E-04,-7.79E-04,-153.377,-151.81,-200.243,-201.307
133.604,60.0441,879.6489,146.608,1.20E-01,-1.05E-01,-3.52946,-4.79E-04,-4.69E-04,-7.79E-04,-7.86E-04,-156.661,-154.989,-202.839,-203.776
137.182,61.9883,877.7047,150.68,1.23E-01,-1.08E-01,-3.53236,-4.92E-04,-4.81E-04,-7.87E-04,-7.93E-04,-159.897,-158.132,-205.316,-206.133
140.753,63.9471,875.7459,154.752,1.27E-01,-1.12E-01,-3.53508,-5.04E-04,-4.94E-04,-7.94E-04,-8.00E-04,-163.089,-161.236,-207.679,-208.38
144.315,65.9204,873.7726,158.825,1.30E-01,-1.16E-01,-3.53761,-5.16E-04,-5.06E-04,-8.00E-04,-8.06E-04,-166.241,-164.301,-209.93,-210.52
147.87,67.9082,871.7848,162.897,1.33E-01,-1.20E-01,-3.53994,-5.29E-04,-5.18E-04,-8.06E-04,-8.12E-04,-169.342,-167.341,-212.069,-212.559
151.416,69.9105,869.7825,166.97,1.37E-01,-1.23E-01,-3.54208,-5.41E-04,-5.30E-04,-8.12E-04,-8.17E-04,-172.407,-170.34,-214.104,-214.495
154.954,71.9272,867.7658,171.042,1.40E-01,-1.27E-01,-3.54402,-5.53E-04,-5.42E-04,-8.17E-04,-8.22E-04,-175.442,-173.297,-216.038,-216.33
158.484,73.9583,865.7347,175.115,1.43E-01,-1.31E-01,-3.54577,-5.65E-04,-5.54E-04,-8.22E-04,-8.26E-04,-178.435,-176.224,-217.87,-218.07
162.005,76.0037,863.6893,179.187,1.47E-01,-1.34E-01,-3.54731,-5.78E-04,-5.66E-04,-8.26E-04,-8.30E-04,-181.394,-179.115,-219.606,-219.714
165.518,78.0635,861.6295,183.259,1.50E-01,-1.38E-01,-3.54864,-5.90E-04,-5.78E-04,-8.30E-04,-8.33E-04,-184.308,-181.984,-221.241,-221.268
169.023,80.1375,859.5555,187.332,1.53E-01,-1.41E-01,-3.54977,-6.02E-04,-5.90E-04,-8.33E-04,-8.36E-04,-187.18,-184.829,-222.781,-222.735
172.519,82.2258,857.4672,191.404,1.57E-01,-1.45E-01,-3.5507,-6.14E-04,-6.02E-04,-8.36E-04,-8.39E-04,-190.03,-187.632,-224.234,-224.111
176.007,84.3284,855.3646,195.477,1.60E-01,-1.48E-01,-3.55142,-6.26E-04,-6.14E-04,-8.39E-04,-8.41E-04,-192.847,-190.406,-225.598,-225.402
179.486,86.4451,853.2479,199.549,1.63E-01,-1.51E-01,-3.55193,-6.38E-04,-6.26E-04,-8.41E-04,-8.43E-04,-195.621,-193.162,-226.873,-226.614
182.956,88.5759,851.1171,203.622,1.67E-01,-1.54E-01,-3.55223,-6.50E-04,-6.38E-04,-8.43E-04,-8.45E-04,-198.373,-195.882,-228.066,-227.742
186.418,90.7209,848.9721,207.694,1.70E-01,-1.58E-01,-3.55233,-6.62E-04,-6.50E-04,-8.44E-04,-8.46E-04,-201.106,-198.562,-229.181,-228.788
189.871,92.88,846.813,211.766,1.73E-01,-1.61E-01,-3.55221,-6.74E-04,-6.61E-04,-8.45E-04,-8.47E-04,-203.8,-201.226,-230.214,-229.759
193.315,95.0531,844.6399,215.839,1.77E-01,-1.64E-01,-3.55189,-6.86E-04,-6.73E-04,-8.46E-04,-8.47E-04,-206.461,-203.869,-231.166,-230.656
196.751,97.2402,842.4528,219.911,1.80E-01,-1.67E-01,-3.55136,-6.97E-04,-6.85E-04,-8.47E-04,-8.48E-04,-209.108,-206.472,-232.046,-231.475
200.177,99.4413,840.2517,223.984,1.83E-01,-1.70E-01,-3.55061,-7.09E-04,-6.97E-04,-8.47E-04,-8.48E-04,-211.734,-209.045,-232.852,-232.218
203.594,101.656,838.037,228.056,1.87E-01,-1.72E-01,-3.54966,-7.21E-04,-7.09E-04,-8.46E-04,-8.47E-04,-214.316,-211.611,-233.578,-232.894
207.003,103.885,835.808,232.129,1.90E-01,-1.75E-01,-3.54849,-7.33E-04,-7.21E-04,-8.46E-04,-8.46E-04,-216.859,-214.168,-234.227,-233.504
210.402,106.128,833.565,236.201,1.93E-01,-1.78E-01,-3.54712,-7.45E-04,-7.32E-04,-8.45E-04,-8.45E-04,-219.385,-216.694,-234.808,-234.043
213.792,108.385,831.308,240.273,1.97E-01,-1.80E-01,-3.54554,-7.56E-04,-7.44E-04,-8.44E-04,-8.44E-04,-221.887,-219.197,-235.32,-234.516
217.173,110.655,829.038,244.346,2.00E-01,-1.83E-01,-3.54375,-7.68E-04,-7.56E-04,-8.42E-04,-8.42E-04,-224.374,-221.67,-235.769,-234.923
220.544,112.939,826.754,248.418,2.03E-01,-1.85E-01,-3.54176,-7.80E-04,-7.68E-04,-8.41E-04,-8.40E-04,-226.854,-224.106,-236.157,-235.261
223.907,115.237,824.456,252.491,2.07E-01,-1.88E-01,-3.53956,-7.92E-04,-7.79E-04,-8.38E-04,-8.38E-04,-229.299,-226.535,-236.477,-235.54
