TengRotter_P_ra042,TengRotter_wc_ra042,Zienkiewicz_P_ra042,Zienkiewicz_wc_ra042,TengRotter_P_ra0,TengRotter_wc_ra0,Zienkiewicz_P_ra0,Zienkiewicz_wc_ra0
0.00247155565350,39.89323946602330,0.00227032857425,43.84906229340880,0.01017443546236,9.79181405921991,0.00885341158187,9.68047227473586
0.00293721947089,52.64100393175670,0.00715428955823,69.01926444833620,0.02133470964150,14.74913304183430,0.01921515640041,14.19735331299800
0.00520116908874,62.31382145880930,0.00882789575625,74.73538929031210,0.03325349972744,17.61937347050020,0.02928346922443,16.84578003038700
0.00987810394220,74.40687303557140,0.01173206063488,74.84847079017870,0.06319632108187,25.67425569176880,0.03961215945071,19.27471265700930
0.01462926665198,74.52198420338430,0.04185059324295,44.00244719963810,0.07566022198768,29.64399624221470,0.05020470651001,21.70393523619530
0.01699006042611,73.64545760313610,0.04447176441934,42.90642650862320,0.08944166734322,33.50529453381420,0.05975226452952,24.79135013511790
0.01984725298941,70.79145451804080,0.04945546908526,41.04377123902530,0.10560826248826,38.02855452847910,0.06982927593046,27.98923696083320
0.02658053142506,62.77687570313490,0.05338896556523,39.50963222416810,0.12200565987404,40.46415606406790,0.08043748042820,31.40748773500650
0.03430138829288,50.47766785353910,0.06022662692384,38.08857470917750,0.12862643671495,42.00989318147550,0.09077312951601,34.27598844828980
0.04498730007771,42.13776226209390,0.06496909105670,37.65422576866420,0.14135245473840,45.87003166281990,0.10031546838937,37.03372728221660
0.05811751197504,38.19614711033270,0.07341424942879,37.77339627236980,0.14696129713179,50.16190951160390,0.11064415861565,39.46265990883890
0.06892346412127,37.43879101379010,0.07948643601907,37.99984922466680,0.15608378469282,59.73237378364900,0.11487978566706,40.34643532318110
0.07605281775901,37.77629579800740,0.09031326474989,38.56119738810730,0.16065111747718,64.90222799549990,0.12043643659897,41.34155252200740
0.08476879182566,38.33532434093780,0.10008466614862,39.12138574129270,,,0.13049431113070,43.33062710940490
0.10060368123775,38.57250553809390,0.11038030178263,39.46236995627510,,,0.14084039851080,46.85847995267970
0.13692255946927,49.38164716252420,0.11461592883404,40.34614537061730,,,0.15098351909628,54.23226360167470
0.14208893425036,59.05765416777810,0.12043295716821,41.12176847867690,,,0.16073636353093,70.28693705709740
,,0.13614664640865,50.36980549982020,,,,
