R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
40.3747,33.0001,966.9999,52.1603,4.50E-02,24.8219,-2.93E-01,1.32E-01,-1.31E-01,2.70E-02,2.45E-02,3.08E+04,-2.72E+04,1.46E+04,-3.27E+03
41.8162,34.2863,965.7137,54.0922,4.67E-02,28.7325,-4.67524,1.21E-01,-1.23E-01,3.13E-02,2.91E-02,2.87E+04,-2.51E+04,1.49E+04,-1.71E+03
43.2537,35.5768,964.4232,56.024,4.83E-02,32.0499,-8.36634,1.11E-01,-1.15E-01,3.43E-02,3.25E-02,2.66E+04,-2.31E+04,1.48E+04,-429.692
44.6873,36.8719,963.1281,57.9559,5.00E-02,34.8158,-11.4211,1.01E-01,-1.07E-01,3.74E-02,3.59E-02,2.46E+04,-2.11E+04,1.48E+04,854.333
46.1168,38.1714,961.8286,59.8878,5.17E-02,37.072,-13.8936,9.12E-02,-9.86E-02,3.94E-02,3.82E-02,2.26E+04,-1.92E+04,1.47E+04,1.89E+03
47.5422,39.4752,960.5248,61.8196,5.33E-02,38.8588,-15.8357,8.18E-02,-9.06E-02,4.14E-02,4.05E-02,2.07E+04,-1.72E+04,1.45E+04,2.92E+03
48.9637,40.7835,959.2165,63.7515,5.50E-02,40.2164,-17.2977,7.33E-02,-8.30E-02,4.26E-02,4.19E-02,1.89E+04,-1.55E+04,1.42E+04,3.73E+03
50.3811,42.0961,957.9039,65.6834,5.67E-02,41.1829,-18.3273,6.48E-02,-7.54E-02,4.37E-02,4.33E-02,1.71E+04,-1.37E+04,1.39E+04,4.54E+03
51.7944,43.4131,956.5869,67.6152,5.83E-02,41.7961,-18.9702,5.73E-02,-6.83E-02,4.42E-02,4.39E-02,1.55E+04,-1.21E+04,1.35E+04,5.15E+03
53.2037,44.7346,955.2654,69.5471,6.00E-02,42.0913,-19.2694,4.97E-02,-6.11E-02,4.46E-02,4.45E-02,1.39E+04,-1.05E+04,1.31E+04,5.75E+03
54.6088,46.0603,953.9397,71.4789,6.17E-02,42.1032,-19.266,4.32E-02,-5.47E-02,4.45E-02,4.45E-02,1.24E+04,-9.08E+03,1.26E+04,6.18E+03
56.0099,47.3904,952.6096,73.4108,6.33E-02,41.864,-18.9979,3.66E-02,-4.82E-02,4.43E-02,4.45E-02,1.10E+04,-7.65E+03,1.22E+04,6.61E+03
57.4069,48.7248,951.2752,75.3427,6.50E-02,41.4049,-18.5014,3.10E-02,-4.23E-02,4.37E-02,4.41E-02,9.70E+03,-6.40E+03,1.17E+04,6.89E+03
58.7997,50.0635,949.9365,77.2746,6.67E-02,40.7546,-17.8093,2.54E-02,-3.65E-02,4.31E-02,4.36E-02,8.43E+03,-5.16E+03,1.12E+04,7.17E+03
60.1884,51.4066,948.5934,79.2064,6.83E-02,39.9407,-16.9527,2.07E-02,-3.14E-02,4.22E-02,4.27E-02,7.34E+03,-4.09E+03,1.06E+04,7.32E+03
61.5729,52.7538,947.2462,81.1383,7.00E-02,38.9885,-15.9597,1.60E-02,-2.63E-02,4.13E-02,4.19E-02,6.25E+03,-3.02E+03,1.01E+04,7.47E+03
62.9532,54.1054,945.8946,83.0702,7.17E-02,37.9218,-14.8566,1.22E-02,-2.19E-02,4.01E-02,4.08E-02,5.33E+03,-2.12E+03,9.63E+03,7.52E+03
64.3294,55.4612,944.5388,85.002,7.33E-02,36.7622,-13.6667,8.39E-03,-1.75E-02,3.90E-02,3.97E-02,4.41E+03,-1.23E+03,9.12E+03,7.56E+03
65.7014,56.8214,943.1786,86.9339,7.50E-02,35.53,-12.4118,5.35E-03,-1.38E-02,3.77E-02,3.84E-02,3.66E+03,-493.309,8.63E+03,7.53E+03
67.0691,58.1857,941.8143,88.8658,7.67E-02,34.2433,-11.1109,2.31E-03,-1.00E-02,3.64E-02,3.71E-02,2.90E+03,241.485,8.14E+03,7.49E+03
68.4326,59.5542,940.4458,90.7976,7.83E-02,32.9191,-9.7815,-2.10E-05,-6.94E-03,3.50E-02,3.57E-02,2.30E+03,827.744,7.68E+03,7.39E+03
69.7919,60.9269,939.0731,92.7295,8.00E-02,31.5721,-8.43872,-2.35E-03,-3.86E-03,3.36E-02,3.43E-02,1.70E+03,1.41E+03,7.22E+03,7.29E+03
71.147,62.3039,937.6961,94.6614,8.17E-02,30.216,-7.09632,-4.06E-03,-1.38E-03,3.22E-02,3.29E-02,1.23E+03,1.87E+03,6.80E+03,7.14E+03
72.4977,63.685,936.315,96.5932,8.33E-02,28.8626,-5.76582,-5.77E-03,1.11E-03,3.07E-02,3.15E-02,759.201,2.32E+03,6.38E+03,6.99E+03
73.8442,65.0703,934.9297,98.5251,8.50E-02,27.5226,-4.45759,-6.94E-03,3.05E-03,2.94E-02,3.01E-02,410.201,2.65E+03,6.00E+03,6.81E+03
75.1865,66.4597,933.5403,100.457,8.67E-02,26.2051,-3.18008,-8.11E-03,4.99E-03,2.80E-02,2.87E-02,61.2629,2.99E+03,5.61E+03,6.63E+03
76.5244,67.8533,932.1467,102.389,8.83E-02,24.918,-1.9408,-8.83E-03,6.46E-03,2.66E-02,2.73E-02,-184.016,3.22E+03,5.27E+03,6.43E+03
77.858,69.251,930.749,104.321,9.00E-02,23.6681,-7.45E-01,-9.55E-03,7.92E-03,2.53E-02,2.60E-02,-429.272,3.45E+03,4.94E+03,6.23E+03
79.1872,70.6528,929.3472,106.252,9.17E-02,22.4611,4.01E-01,-9.89E-03,8.96E-03,2.41E-02,2.47E-02,-586.352,3.60E+03,4.64E+03,6.02E+03
80.5121,72.0588,927.9412,108.184,9.33E-02,21.3013,1.4945,-1.02E-02,1.00E-02,2.28E-02,2.34E-02,-743.505,3.75E+03,4.35E+03,5.81E+03
81.8328,73.4688,926.5312,110.116,9.50E-02,20.1927,2.53272,-1.03E-02,1.07E-02,2.17E-02,2.23E-02,-827.477,3.82E+03,4.10E+03,5.60E+03
83.149,74.8829,925.1171,112.048,9.67E-02,19.1378,3.51362,-1.03E-02,1.14E-02,2.06E-02,2.11E-02,-911.676,3.89E+03,3.84E+03,5.39E+03
84.4608,76.3011,923.6989,113.98,9.83E-02,18.1389,4.43595,-1.01E-02,1.18E-02,1.96E-02,2.01E-02,-936.739,3.91E+03,3.63E+03,5.19E+03
85.7682,77.7233,922.2767,115.912,1.00E-01,17.1969,5.29938,-9.94E-03,1.22E-02,1.86E-02,1.90E-02,-961.911,3.93E+03,3.42E+03,4.98E+03
87.0713,79.1495,920.8505,117.844,1.02E-01,16.3127,6.10398,-9.58E-03,1.23E-02,1.77E-02,1.81E-02,-940.734,3.90E+03,3.25E+03,4.79E+03
88.3699,80.5798,919.4202,119.776,1.03E-01,15.4863,6.85052,-9.21E-03,1.25E-02,1.68E-02,1.72E-02,-919.553,3.87E+03,3.08E+03,4.60E+03
89.6641,82.014,917.986,121.707,1.05E-01,14.7171,7.54004,-8.73E-03,1.24E-02,1.60E-02,1.64E-02,-863.475,3.81E+03,2.94E+03,4.42E+03
90.9539,83.4523,916.5477,123.639,1.07E-01,14.0044,8.17415,-8.24E-03,1.24E-02,1.52E-02,1.56E-02,-807.701,3.75E+03,2.80E+03,4.24E+03
92.2392,84.8946,915.1054,125.571,1.08E-01,13.3468,8.7546,-7.67E-03,1.22E-02,1.46E-02,1.49E-02,-726.88,3.66E+03,2.69E+03,4.07E+03
93.5201,86.3408,913.6592,127.503,1.10E-01,12.7427,9.28357,-7.11E-03,1.20E-02,1.39E-02,1.42E-02,-645.927,3.57E+03,2.59E+03,3.91E+03
94.7964,87.791,912.209,129.435,1.12E-01,12.1903,9.76331,-6.50E-03,1.17E-02,1.33E-02,1.36E-02,-548.901,3.47E+03,2.50E+03,3.76E+03
96.0683,89.2451,910.7549,131.367,1.13E-01,11.6873,10.1963,-5.90E-03,1.14E-02,1.28E-02,1.30E-02,-452.122,3.37E+03,2.42E+03,3.62E+03
97.3357,90.7031,909.2969,133.299,1.15E-01,11.2317,10.5852,-5.28E-03,1.11E-02,1.23E-02,1.26E-02,-345.714,3.26E+03,2.37E+03,3.49E+03
98.5986,92.165,907.835,135.23,1.17E-01,10.8208,10.9325,-4.66E-03,1.07E-02,1.19E-02,1.21E-02,-239.344,3.15E+03,2.31E+03,3.36E+03
99.8569,93.6308,906.3692,137.162,1.18E-01,10.4523,11.2411,-4.05E-03,1.03E-02,1.15E-02,1.17E-02,-129.79,3.04E+03,2.27E+03,3.25E+03
101.111,95.1005,904.8995,139.094,1.20E-01,10.1234,11.5136,-3.45E-03,9.91E-03,1.12E-02,1.13E-02,-20.4064,2.92E+03,2.23E+03,3.14E+03
102.36,96.5741,903.4259,141.026,1.22E-01,9.8316,11.7527,-2.87E-03,9.49E-03,1.09E-02,1.10E-02,87.6944,2.81E+03,2.20E+03,3.05E+03
103.605,98.0516,901.9484,142.958,1.23E-01,9.57424,11.9611,-2.29E-03,9.08E-03,1.06E-02,1.07E-02,195.724,2.70E+03,2.18E+03,2.96E+03
104.845,99.5328,900.4672,144.89,1.25E-01,9.3487,12.1413,-1.76E-03,8.66E-03,1.04E-02,1.05E-02,299.279,2.60E+03,2.17E+03,2.88E+03
106.08,101.018,898.982,146.822,1.27E-01,9.15241,12.2959,-1.22E-03,8.24E-03,1.02E-02,1.03E-02,402.742,2.49E+03,2.16E+03,2.80E+03
107.311,102.507,897.493,148.754,1.28E-01,8.98285,12.4272,-7.40E-04,7.85E-03,1.00E-02,1.01E-02,498.75,2.39E+03,2.16E+03,2.74E+03
108.538,104,896,150.685,1.30E-01,8.83756,12.5377,-2.57E-04,7.45E-03,9.87E-03,9.94E-03,594.654,2.29E+03,2.15E+03,2.67E+03
109.759,105.496,894.504,152.617,1.32E-01,8.7142,12.6294,1.71E-04,7.08E-03,9.77E-03,9.82E-03,681.538,2.20E+03,2.16E+03,2.62E+03
110.976,106.996,893.004,154.549,1.33E-01,8.61052,12.7044,5.99E-04,6.70E-03,9.66E-03,9.70E-03,768.346,2.11E+03,2.16E+03,2.57E+03
112.189,108.5,891.5,156.481,1.35E-01,8.52435,12.7648,9.71E-04,6.37E-03,9.59E-03,9.62E-03,845.492,2.03E+03,2.17E+03,2.53E+03
113.397,110.008,889.992,158.413,1.37E-01,8.45367,12.8124,1.34E-03,6.03E-03,9.52E-03,9.54E-03,922.731,1.95E+03,2.18E+03,2.49E+03
114.6,111.52,888.48,160.345,1.38E-01,8.39654,12.8487,1.66E-03,5.73E-03,9.47E-03,9.50E-03,989.405,1.88E+03,2.19E+03,2.46E+03
115.798,113.035,886.965,162.277,1.40E-01,8.35119,12.8755,1.97E-03,5.43E-03,9.43E-03,9.45E-03,1.06E+03,1.82E+03,2.20E+03,2.43E+03
116.992,114.554,885.446,164.208,1.42E-01,8.31591,12.8941,2.24E-03,5.17E-03,9.41E-03,9.43E-03,1.11E+03,1.76E+03,2.22E+03,2.41E+03
118.181,116.076,883.924,166.14,1.43E-01,8.28918,12.9059,2.50E-03,4.91E-03,9.39E-03,9.40E-03,1.17E+03,1.70E+03,2.23E+03,2.39E+03
119.365,117.603,882.397,168.072,1.45E-01,8.26957,12.9121,2.71E-03,4.69E-03,9.39E-03,9.39E-03,1.21E+03,1.65E+03,2.24E+03,2.37E+03
120.545,119.132,880.868,170.004,1.47E-01,8.25578,12.9137,2.92E-03,4.47E-03,9.38E-03,9.39E-03,1.26E+03,1.60E+03,2.26E+03,2.36E+03
121.72,120.666,879.334,171.936,1.48E-01,8.24661,12.9118,3.09E-03,4.29E-03,9.39E-03,9.39E-03,1.30E+03,1.56E+03,2.27E+03,2.35E+03
122.89,122.203,877.797,173.868,1.50E-01,8.241,12.9071,3.26E-03,4.11E-03,9.39E-03,9.39E-03,1.34E+03,1.52E+03,2.28E+03,2.34E+03
124.055,123.744,876.256,175.8,1.52E-01,8.23797,12.9005,3.39E-03,3.96E-03,9.41E-03,9.40E-03,1.36E+03,1.49E+03,2.29E+03,2.33E+03
125.216,125.288,874.712,177.731,1.53E-01,8.23668,12.8926,3.51E-03,3.82E-03,9.42E-03,9.41E-03,1.39E+03,1.46E+03,2.30E+03,2.32E+03
126.372,126.836,873.164,179.663,1.55E-01,8.23636,12.884,3.61E-03,3.71E-03,9.43E-03,9.43E-03,1.41E+03,1.44E+03,2.31E+03,2.32E+03
127.523,128.388,871.612,181.595,1.57E-01,8.23637,12.8752,3.70E-03,3.60E-03,9.44E-03,9.44E-03,1.44E+03,1.41E+03,2.32E+03,2.31E+03
128.669,129.943,870.057,183.527,1.58E-01,8.23613,12.8666,3.76E-03,3.51E-03,9.45E-03,9.45E-03,1.45E+03,1.40E+03,2.33E+03,2.31E+03
129.811,131.501,868.499,185.459,1.60E-01,8.23516,12.8586,3.83E-03,3.43E-03,9.46E-03,9.46E-03,1.47E+03,1.38E+03,2.33E+03,2.31E+03
130.947,133.064,866.936,187.391,1.62E-01,8.23305,12.8515,3.87E-03,3.37E-03,9.47E-03,9.47E-03,1.48E+03,1.37E+03,2.34E+03,2.30E+03
132.079,134.629,865.371,189.323,1.63E-01,8.22945,12.8455,3.91E-03,3.32E-03,9.48E-03,9.48E-03,1.49E+03,1.35E+03,2.34E+03,2.30E+03
133.206,136.198,863.802,191.255,1.65E-01,8.22409,12.8407,3.93E-03,3.28E-03,9.49E-03,9.49E-03,1.49E+03,1.35E+03,2.34E+03,2.30E+03
134.328,137.771,862.229,193.186,1.67E-01,8.21677,12.8374,3.95E-03,3.25E-03,9.49E-03,9.49E-03,1.49E+03,1.34E+03,2.35E+03,2.30E+03
135.445,139.347,860.653,195.118,1.68E-01,8.20732,12.8356,3.96E-03,3.23E-03,9.49E-03,9.49E-03,1.50E+03,1.34E+03,2.35E+03,2.30E+03
136.558,140.926,859.074,197.05,1.70E-01,8.19563,12.8353,3.97E-03,3.21E-03,9.49E-03,9.49E-03,1.50E+03,1.33E+03,2.35E+03,2.30E+03
137.665,142.509,857.491,198.982,1.72E-01,8.18164,12.8366,3.97E-03,3.21E-03,9.48E-03,9.49E-03,1.50E+03,1.33E+03,2.35E+03,2.30E+03
138.768,144.096,855.904,200.914,1.73E-01,8.16532,12.8395,3.96E-03,3.20E-03,9.48E-03,9.48E-03,1.50E+03,1.33E+03,2.34E+03,2.30E+03
139.865,145.685,854.315,202.846,1.75E-01,8.14668,12.844,3.95E-03,3.21E-03,9.47E-03,9.47E-03,1.49E+03,1.33E+03,2.34E+03,2.29E+03
140.958,147.279,852.721,204.778,1.77E-01,8.12573,12.85,3.94E-03,3.22E-03,9.46E-03,9.46E-03,1.49E+03,1.33E+03,2.34E+03,2.29E+03
142.046,148.875,851.125,206.709,1.78E-01,8.10255,12.8574,3.92E-03,3.23E-03,9.44E-03,9.45E-03,1.48E+03,1.33E+03,2.33E+03,2.29E+03
143.129,150.475,849.525,208.641,1.80E-01,8.07723,12.8662,3.91E-03,3.25E-03,9.42E-03,9.43E-03,1.48E+03,1.34E+03,2.33E+03,2.29E+03
144.206,152.078,847.922,210.573,1.82E-01,8.04985,12.8763,3.89E-03,3.27E-03,9.40E-03,9.41E-03,1.47E+03,1.34E+03,2.32E+03,2.28E+03
145.279,153.685,846.315,212.505,1.83E-01,8.02053,12.8875,3.87E-03,3.29E-03,9.38E-03,9.39E-03,1.47E+03,1.34E+03,2.32E+03,2.28E+03
146.347,155.294,844.706,214.437,1.85E-01,7.9894,12.8999,3.85E-03,3.32E-03,9.35E-03,9.36E-03,1.46E+03,1.35E+03,2.31E+03,2.28E+03
147.41,156.908,843.092,216.369,1.87E-01,7.95657,12.9132,3.83E-03,3.35E-03,9.33E-03,9.34E-03,1.46E+03,1.35E+03,2.30E+03,2.27E+03
148.468,158.524,841.476,218.301,1.88E-01,7.9222,12.9274,3.81E-03,3.37E-03,9.30E-03,9.31E-03,1.45E+03,1.35E+03,2.29E+03,2.27E+03
149.521,160.144,839.856,220.233,1.90E-01,7.88641,12.9424,3.79E-03,3.40E-03,9.27E-03,9.28E-03,1.44E+03,1.36E+03,2.29E+03,2.26E+03
150.569,161.767,838.233,222.164,1.92E-01,7.84934,12.9581,3.77E-03,3.43E-03,9.23E-03,9.25E-03,1.44E+03,1.36E+03,2.28E+03,2.26E+03
151.612,163.393,836.607,224.096,1.93E-01,7.81114,12.9743,3.75E-03,3.46E-03,9.20E-03,9.21E-03,1.43E+03,1.37E+03,2.27E+03,2.25E+03
152.65,165.022,834.978,226.028,1.95E-01,7.77195,12.991,3.74E-03,3.48E-03,9.16E-03,9.18E-03,1.43E+03,1.37E+03,2.26E+03,2.25E+03
153.683,166.655,833.345,227.96,1.97E-01,7.73189,13.0081,3.72E-03,3.51E-03,9.13E-03,9.14E-03,1.42E+03,1.37E+03,2.25E+03,2.24E+03
154.711,168.29,831.71,229.892,1.98E-01,7.69111,13.0255,3.71E-03,3.54E-03,9.09E-03,9.11E-03,1.41E+03,1.38E+03,2.24E+03,2.23E+03
155.734,169.929,830.071,231.824,2.00E-01,7.64974,13.043,3.69E-03,3.56E-03,9.05E-03,9.07E-03,1.41E+03,1.38E+03,2.23E+03,2.23E+03
156.751,171.571,828.429,233.756,2.02E-01,7.60788,13.0607,3.68E-03,3.59E-03,9.01E-03,9.03E-03,1.40E+03,1.38E+03,2.22E+03,2.22E+03
157.764,173.216,826.784,235.687,2.03E-01,7.56566,13.0785,3.67E-03,3.61E-03,8.98E-03,8.99E-03,1.40E+03,1.39E+03,2.21E+03,2.21E+03
158.772,174.865,825.135,237.619,2.05E-01,7.52317,13.0962,3.67E-03,3.63E-03,8.94E-03,8.95E-03,1.40E+03,1.39E+03,2.21E+03,2.21E+03
159.774,176.516,823.484,239.551,2.07E-01,7.48052,13.1138,3.66E-03,3.66E-03,8.90E-03,8.91E-03,1.39E+03,1.39E+03,2.20E+03,2.20E+03
160.771,178.171,821.829,241.483,2.08E-01,7.43778,13.1313,3.66E-03,3.68E-03,8.86E-03,8.87E-03,1.39E+03,1.39E+03,2.19E+03,2.19E+03
161.764,179.828,820.172,243.415,2.10E-01,7.39506,13.1486,3.65E-03,3.70E-03,8.81E-03,8.83E-03,1.38E+03,1.39E+03,2.18E+03,2.18E+03
162.751,181.489,818.511,245.347,2.12E-01,7.35242,13.1657,3.65E-03,3.72E-03,8.77E-03,8.79E-03,1.38E+03,1.40E+03,2.17E+03,2.18E+03
163.733,183.153,816.847,247.279,2.13E-01,7.30994,13.1825,3.65E-03,3.73E-03,8.73E-03,8.75E-03,1.38E+03,1.40E+03,2.16E+03,2.17E+03
164.709,184.819,815.181,249.21,2.15E-01,7.26766,13.199,3.65E-03,3.75E-03,8.69E-03,8.71E-03,1.37E+03,1.40E+03,2.15E+03,2.16E+03
165.681,186.489,813.511,251.142,2.17E-01,7.22567,13.2152,3.65E-03,3.77E-03,8.65E-03,8.67E-03,1.37E+03,1.40E+03,2.14E+03,2.15E+03
166.648,188.162,811.838,253.074,2.18E-01,7.18399,13.231,3.65E-03,3.78E-03,8.61E-03,8.63E-03,1.37E+03,1.40E+03,2.13E+03,2.15E+03
167.609,189.838,810.162,255.006,2.20E-01,7.14268,13.2464,3.65E-03,3.79E-03,8.57E-03,8.59E-03,1.37E+03,1.40E+03,2.13E+03,2.14E+03
168.565,191.516,808.484,256.938,2.22E-01,7.10178,13.2614,3.65E-03,3.81E-03,8.54E-03,8.55E-03,1.37E+03,1.40E+03,2.12E+03,2.13E+03
169.516,193.198,806.802,258.87,2.23E-01,7.06132,13.276,3.66E-03,3.82E-03,8.50E-03,8.51E-03,1.36E+03,1.40E+03,2.11E+03,2.12E+03
170.462,194.882,805.118,260.802,2.25E-01,7.02133,13.2901,3.66E-03,3.83E-03,8.46E-03,8.47E-03,1.36E+03,1.40E+03,2.10E+03,2.11E+03
171.402,196.57,803.43,262.733,2.27E-01,6.98183,13.3039,3.67E-03,3.84E-03,8.42E-03,8.43E-03,1.36E+03,1.40E+03,2.09E+03,2.11E+03
172.337,198.26,801.74,264.665,2.28E-01,6.94282,13.3172,3.67E-03,3.85E-03,8.38E-03,8.39E-03,1.36E+03,1.40E+03,2.08E+03,2.10E+03
173.267,199.954,800.046,266.597,2.30E-01,6.90433,13.33,3.68E-03,3.86E-03,8.35E-03,8.36E-03,1.36E+03,1.40E+03,2.08E+03,2.09E+03
174.192,201.65,798.35,268.529,2.32E-01,6.86637,13.3424,3.69E-03,3.86E-03,8.31E-03,8.32E-03,1.36E+03,1.40E+03,2.07E+03,2.08E+03
175.112,203.349,796.651,270.461,2.33E-01,6.82893,13.3544,3.69E-03,3.87E-03,8.27E-03,8.28E-03,1.36E+03,1.40E+03,2.06E+03,2.08E+03
176.026,205.05,794.95,272.393,2.35E-01,6.79204,13.3659,3.70E-03,3.88E-03,8.24E-03,8.25E-03,1.36E+03,1.40E+03,2.05E+03,2.07E+03
176.935,206.755,793.245,274.325,2.37E-01,6.75568,13.377,3.71E-03,3.89E-03,8.20E-03,8.21E-03,1.36E+03,1.40E+03,2.05E+03,2.06E+03
177.839,208.462,791.538,276.257,2.38E-01,6.71986,13.3876,3.72E-03,3.89E-03,8.17E-03,8.18E-03,1.36E+03,1.39E+03,2.04E+03,2.05E+03
178.737,210.173,789.827,278.188,2.40E-01,6.68457,13.3978,3.73E-03,3.90E-03,8.13E-03,8.14E-03,1.36E+03,1.39E+03,2.03E+03,2.05E+03
179.631,211.886,788.114,280.12,2.42E-01,6.6498,13.4077,3.73E-03,3.90E-03,8.10E-03,8.11E-03,1.35E+03,1.39E+03,2.03E+03,2.04E+03
180.519,213.601,786.399,282.052,2.43E-01,6.61554,13.4171,3.74E-03,3.91E-03,8.07E-03,8.08E-03,1.35E+03,1.39E+03,2.02E+03,2.03E+03
181.401,215.32,784.68,283.984,2.45E-01,6.5818,13.4261,3.75E-03,3.91E-03,8.04E-03,8.05E-03,1.35E+03,1.39E+03,2.01E+03,2.03E+03
182.278,217.041,782.959,285.916,2.47E-01,6.54854,13.4347,3.76E-03,3.92E-03,8.00E-03,8.01E-03,1.35E+03,1.39E+03,2.01E+03,2.02E+03
183.15,218.765,781.235,287.848,2.48E-01,6.51578,13.443,3.77E-03,3.92E-03,7.97E-03,7.98E-03,1.35E+03,1.39E+03,2.00E+03,2.01E+03
184.017,220.492,779.508,289.78,2.50E-01,6.48349,13.4509,3.78E-03,3.92E-03,7.94E-03,7.95E-03,1.35E+03,1.39E+03,1.99E+03,2.01E+03
