R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
0,0,1000,0,0,-397.606,532.188,1.21E-01,1.23E-01,-3.89E-01,-4.06E-01,938.791,266.357,-7.75E+04,-8.12E+04
1.5437,1.1615,998.8385,1.93186,1.67E-03,-372.796,498.833,1.52E-01,7.88E-02,-3.65E-01,-3.82E-01,9.30E+03,-7.86E+03,-7.02E+04,-7.87E+04
3.0838,2.32776,997.67224,3.86372,3.33E-03,-348.039,465.782,1.82E-01,3.46E-02,-3.41E-01,-3.58E-01,1.76E+04,-1.60E+04,-6.28E+04,-7.63E+04
4.6203,3.49878,996.50122,5.79559,5.00E-03,-323.499,433.249,2.04E-01,-8.75E-04,-3.17E-01,-3.33E-01,2.41E+04,-2.22E+04,-5.61E+04,-7.33E+04
6.15314,4.67456,995.32544,7.72744,6.67E-03,-299.317,401.41,2.27E-01,-3.64E-02,-2.93E-01,-3.09E-01,3.05E+04,-2.84E+04,-4.94E+04,-7.04E+04
7.68237,5.85504,994.14496,9.6593,8.33E-03,-275.623,370.425,2.41E-01,-6.40E-02,-2.70E-01,-2.86E-01,3.52E+04,-3.29E+04,-4.34E+04,-6.70E+04
9.20795,7.04028,992.95972,11.5912,1.00E-02,-252.522,340.422,2.56E-01,-9.17E-02,-2.47E-01,-2.62E-01,3.99E+04,-3.74E+04,-3.74E+04,-6.37E+04
10.7299,8.23022,991.76978,13.5231,1.17E-02,-230.114,311.515,2.64E-01,-1.12E-01,-2.25E-01,-2.40E-01,4.31E+04,-4.05E+04,-3.21E+04,-6.02E+04
12.248,9.42487,990.57513,15.4549,1.33E-02,-208.476,283.789,2.72E-01,-1.33E-01,-2.04E-01,-2.18E-01,4.63E+04,-4.36E+04,-2.68E+04,-5.67E+04
13.7625,10.6242,989.3758,17.3868,1.50E-02,-187.679,257.32,2.75E-01,-1.47E-01,-1.84E-01,-1.97E-01,4.83E+04,-4.54E+04,-2.23E+04,-5.31E+04
15.2733,11.8282,988.1718,19.3186,1.67E-02,-167.775,232.154,2.78E-01,-1.62E-01,-1.64E-01,-1.77E-01,5.02E+04,-4.72E+04,-1.77E+04,-4.95E+04
16.7804,13.0368,986.9632,21.2505,1.83E-02,-148.809,208.334,2.76E-01,-1.71E-01,-1.45E-01,-1.58E-01,5.11E+04,-4.80E+04,-1.38E+04,-4.59E+04
18.2837,14.2501,985.7499,23.1823,2.00E-02,-130.81,185.88,2.75E-01,-1.80E-01,-1.27E-01,-1.39E-01,5.20E+04,-4.88E+04,-9.85E+03,-4.24E+04
19.7833,15.4681,984.5319,25.1142,2.17E-02,-113.803,164.803,2.70E-01,-1.85E-01,-1.11E-01,-1.22E-01,5.20E+04,-4.87E+04,-6.58E+03,-3.89E+04
21.2791,16.6907,983.3093,27.0461,2.33E-02,-97.7992,145.101,2.65E-01,-1.90E-01,-9.46E-02,-1.05E-01,5.20E+04,-4.87E+04,-3.32E+03,-3.55E+04
22.7711,17.9178,982.0822,28.9779,2.50E-02,-82.8054,126.763,2.57E-01,-1.91E-01,-8.02E-02,-8.96E-02,5.13E+04,-4.79E+04,-655.746,-3.23E+04
24.2593,19.1497,980.8503,30.9098,2.67E-02,-68.8166,109.768,2.50E-01,-1.92E-01,-6.59E-02,-7.45E-02,5.06E+04,-4.72E+04,2.01E+03,-2.91E+04
25.7437,20.3861,979.6139,32.8417,2.83E-02,-55.8242,94.0881,2.41E-01,-1.91E-01,-5.35E-02,-6.14E-02,4.94E+04,-4.59E+04,4.12E+03,-2.61E+04
27.2242,21.6271,978.3729,34.7736,3.00E-02,-43.8129,79.6869,2.31E-01,-1.89E-01,-4.11E-02,-4.84E-02,4.82E+04,-4.47E+04,6.24E+03,-2.31E+04
28.701,22.8726,977.1274,36.7054,3.17E-02,-32.7619,66.5247,2.21E-01,-1.85E-01,-3.05E-02,-3.72E-02,4.65E+04,-4.30E+04,7.86E+03,-2.04E+04
30.1738,24.1227,975.8773,38.6373,3.33E-02,-22.6451,54.5553,2.10E-01,-1.80E-01,-2.00E-02,-2.61E-02,4.49E+04,-4.14E+04,9.48E+03,-1.76E+04
31.6428,25.3774,974.6226,40.5691,3.50E-02,-13.4339,43.7293,1.99E-01,-1.75E-01,-1.13E-02,-1.68E-02,4.30E+04,-3.95E+04,1.07E+04,-1.52E+04
33.1079,26.6366,973.3634,42.501,3.67E-02,-5.09478,33.9937,1.88E-01,-1.69E-01,-2.53E-03,-7.45E-03,4.12E+04,-3.76E+04,1.18E+04,-1.28E+04
34.5692,27.9003,972.0997,44.4329,3.83E-02,2.40678,25.2937,1.77E-01,-1.62E-01,4.56E-03,1.59E-04,3.91E+04,-3.55E+04,1.26E+04,-1.06E+04
36.0264,29.1685,970.8315,46.3647,4.00E-02,9.1095,17.5728,1.65E-01,-1.55E-01,1.16E-02,7.76E-03,3.71E+04,-3.35E+04,1.35E+04,-8.50E+03
37.4798,30.4412,969.5588,48.2966,4.17E-02,15.0521,10.7734,1.54E-01,-1.47E-01,1.72E-02,1.38E-02,3.50E+04,-3.14E+04,1.39E+04,-6.66E+03
38.9292,31.7184,968.2816,50.2285,4.33E-02,20.2758,4.83759,1.43E-01,-1.39E-01,2.28E-02,1.98E-02,3.29E+04,-2.93E+04,1.44E+04,-4.82E+03
